Team,all_stars
Cleveland Cavaliers*,0
Miami Heat*,1
Philadelphia 76ers*,1
Boston Celtics*,2
Phoenix Suns*,1
Denver Nuggets*,1
Brooklyn Nets*,0
Memphis Grizzlies*,2
New York Knicks*,1
Los Angeles Clippers*,1
Milwaukee Bucks*,2
Minnesota Timberwolves*,1
Los Angeles Lakers*,1
Golden State Warriors*,1
Sacramento Kings*,2
Atlanta Hawks*,0
