Team,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,Opp2P,Opp2PA,Opp2P%,OppFT,OppFTA,OppFT%,OppORB,OppDRB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF,OppPTS
Cleveland Cavaliers*,39.0,83.5,.468,11.3,30.6,.368,27.8,52.9,.525,17.5,22.4,.782,9.8,31.5,41.2,23.0,7.0,4.4,15.7,20.4,106.9
Miami Heat*,40.1,83.2,.482,13.1,35.8,.367,27.0,47.4,.569,16.5,21.1,.781,8.9,33.0,41.8,25.6,7.0,3.8,15.7,20.0,109.8
Philadelphia 76ers*,40.4,85.4,.473,11.6,33.4,.348,28.8,52.1,.553,18.5,23.7,.781,9.5,31.6,41.2,24.2,6.6,4.6,14.3,19.6,110.9
Boston Celtics*,41.8,90.2,.463,11.6,33.7,.345,30.1,56.5,.534,16.2,21.1,.769,9.7,34.3,44.0,23.1,6.6,3.9,12.7,19.1,111.4
Phoenix Suns*,40.0,85.9,.466,11.4,32.0,.357,28.6,53.9,.530,20.1,25.6,.786,10.2,32.6,42.9,23.4,7.2,4.0,14.4,19.9,111.6
Denver Nuggets*,41.7,87.4,.478,11.4,33.1,.344,30.4,54.3,.559,17.6,22.7,.775,10.1,30.7,40.8,25.7,7.9,4.2,13.5,19.5,112.5
Brooklyn Nets*,41.0,88.5,.463,11.8,32.2,.367,29.2,56.3,.518,18.7,24.4,.767,11.5,33.6,45.1,23.4,7.0,3.9,13.7,18.5,112.5
Memphis Grizzlies*,40.7,89.8,.453,13.0,36.6,.355,27.7,53.3,.521,18.5,23.5,.787,11.0,33.4,44.4,26.4,6.8,5.2,15.1,20.0,113.0
New York Knicks*,40.8,88.2,.462,13.0,36.5,.357,27.7,51.7,.537,18.5,23.7,.782,10.1,31.9,42.0,25.1,6.0,4.5,12.7,20.7,113.1
Los Angeles Clippers*,41.8,88.3,.474,12.2,33.4,.365,29.6,54.9,.539,17.2,22.3,.771,10.2,32.9,43.1,25.0,7.8,4.2,13.0,19.6,113.1
Milwaukee Bucks*,42.5,93.2,.456,12.1,34.1,.354,30.4,59.1,.514,16.3,21.0,.776,10.7,33.5,44.2,23.9,7.0,3.9,11.8,19.0,113.3
Minnesota Timberwolves*,41.8,88.7,.471,12.3,33.3,.369,29.5,55.5,.532,19.9,26.0,.766,11.3,33.3,44.7,25.0,8.2,4.1,15.4,20.2,115.8
Los Angeles Lakers*,44.0,93.9,.469,12.5,36.5,.344,31.5,57.4,.548,16.1,20.8,.773,11.1,33.8,44.9,25.7,7.6,5.1,12.6,21.5,116.6
Golden State Warriors*,42.4,90.5,.469,12.9,35.5,.364,29.5,55.0,.536,19.4,25.2,.769,10.7,32.6,43.3,25.7,7.9,4.0,14.3,18.4,117.1
Sacramento Kings*,43.8,88.9,.492,12.5,33.4,.373,31.3,55.5,.564,18.1,23.0,.787,9.7,32.5,42.2,26.7,7.3,4.2,14.2,20.9,118.1
Atlanta Hawks*,43.8,90.2,.486,11.9,33.5,.356,31.9,56.7,.562,18.6,23.2,.803,10.6,33.5,44.1,26.0,7.5,5.0,14.2,19.7,118.1











