Team,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Sacramento Kings*,43.6,88.2,.494,13.8,37.3,.369,29.8,50.9,.586,19.8,25.1,.790,9.5,32.9,42.5,27.3,7.0,3.4,13.5,19.7,120.7
Golden State Warriors*,43.1,90.2,.479,16.6,43.2,.385,26.5,47.0,.564,16.0,20.2,.794,10.5,34.1,44.6,29.8,7.2,3.9,16.3,21.4,118.9
Atlanta Hawks*,44.6,92.4,.483,10.8,30.5,.352,33.9,61.8,.548,18.5,22.6,.818,11.2,33.2,44.4,25.0,7.1,4.9,12.9,18.8,118.4
Boston Celtics*,42.2,88.8,.475,16.0,42.6,.377,26.2,46.2,.567,17.5,21.6,.812,9.7,35.6,45.3,26.7,6.4,5.2,13.4,18.8,117.9
Los Angeles Lakers*,42.9,89.0,.482,10.8,31.2,.346,32.1,57.8,.555,20.6,26.6,.775,10.0,35.7,45.7,25.3,6.4,4.6,14.1,17.9,117.2
Memphis Grizzlies*,43.7,92.1,.475,12.0,34.2,.351,31.7,57.9,.548,17.5,23.8,.733,12.0,34.6,46.6,26.0,8.3,5.8,13.6,20.0,116.9
Milwaukee Bucks*,42.7,90.4,.473,14.8,40.3,.368,27.9,50.1,.557,16.6,22.4,.743,11.1,37.5,48.6,25.8,6.4,4.9,14.6,18.1,116.9
New York Knicks*,42.0,89.4,.470,12.6,35.7,.354,29.4,53.6,.547,19.4,25.5,.761,12.6,34.0,46.6,22.9,6.4,4.1,13.0,20.3,116.0
Denver Nuggets*,43.6,86.4,.504,11.8,31.2,.379,31.8,55.2,.575,16.8,22.4,.751,10.1,32.9,43.0,28.9,7.5,4.5,14.5,18.6,115.8
Minnesota Timberwolves*,42.9,87.4,.490,12.2,33.3,.365,30.7,54.1,.568,17.9,23.7,.755,9.1,32.8,41.9,26.2,8.0,5.4,15.3,21.6,115.8
Philadelphia 76ers*,40.8,83.8,.487,12.6,32.6,.387,28.2,51.2,.551,21.0,25.1,.835,8.7,32.2,40.9,25.2,7.7,4.7,13.7,20.4,115.2
Phoenix Suns*,42.1,90.1,.467,12.2,32.6,.374,29.9,57.5,.520,17.2,21.7,.793,11.8,32.4,44.2,27.3,7.1,5.3,13.5,21.2,113.6
Los Angeles Clippers*,41.1,86.1,.477,12.7,33.4,.381,28.4,52.7,.539,18.7,23.9,.781,9.8,33.4,43.2,23.9,7.1,4.4,14.2,19.5,113.6
Brooklyn Nets*,41.5,85.1,.487,12.8,33.8,.378,28.7,51.3,.559,17.7,22.1,.800,8.2,32.3,40.5,25.5,7.1,6.2,13.7,21.1,113.4
Cleveland Cavaliers*,41.6,85.2,.488,11.6,31.6,.367,30.0,53.6,.559,17.5,22.5,.780,9.7,31.4,41.1,24.9,7.1,4.7,13.3,19.0,112.3
Miami Heat*,39.2,85.3,.460,12.0,34.8,.344,27.3,50.5,.540,19.1,23.0,.831,9.7,30.9,40.6,23.8,8.0,3.0,13.5,18.5,109.5




