Team,outcome
Cleveland Cavaliers*,1
Miami Heat*,4
Philadelphia 76ers*,2
Boston Celtics*,3
Phoenix Suns*,2
Denver Nuggets*,5
Brooklyn Nets*,1
Memphis Grizzlies*,1
New York Knicks*,2
Los Angeles Clippers*,1
Milwaukee Bucks*,1
Minnesota Timberwolves*,1
Los Angeles Lakers*,3
Golden State Warriors*,2
Sacramento Kings*,1
Atlanta Hawks*,1
