Team,outcome
Detroit Pistons*,3
Boston Celtics*,5
San Antonio Spurs*,3
Houston Rockets*,1
New Orleans Hornets*,2
Dallas Mavericks*,1
Philadelphia 76ers*,1
Cleveland Cavaliers*,2
Toronto Raptors*,1
Orlando Magic*,2
Washington Wizards*,1
Utah Jazz*,2
Atlanta Hawks*,1
Los Angeles Lakers*,4
Phoenix Suns*,1
Denver Nuggets*,1
