Team,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,Opp2P,Opp2PA,Opp2P%,OppFT,OppFTA,OppFT%,OppORB,OppDRB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF,OppPTS
Detroit Pistons*,33.3,76.1,.437,5.0,15.0,.332,28.3,61.0,.463,18.6,25.0,.744,10.5,28.6,39.1,19.1,5.8,3.9,13.5,19.7,90.1
Boston Celtics*,32.4,77.3,.419,5.9,18.7,.316,26.5,58.6,.452,19.6,26.3,.743,11.0,27.9,38.9,18.8,7.2,4.7,16.0,22.2,90.3
San Antonio Spurs*,34.8,78.4,.444,5.1,15.0,.342,29.7,63.5,.468,15.8,20.9,.756,9.5,30.8,40.3,18.2,6.9,4.4,12.9,19.8,90.6
Houston Rockets*,34.8,80.4,.433,5.3,14.5,.365,29.5,66.0,.447,17.2,23.3,.737,10.9,29.8,40.7,18.9,7.6,4.6,13.3,19.7,92.0
New Orleans Hornets*,37.0,80.5,.460,6.6,18.9,.351,30.4,61.6,.494,14.8,19.3,.771,9.9,30.9,40.8,21.7,5.7,4.0,13.9,19.2,95.6
Dallas Mavericks*,35.4,79.9,.443,5.0,14.2,.349,30.4,65.6,.463,20.1,26.4,.760,10.8,29.5,40.3,18.9,6.5,4.4,12.2,21.2,95.9
Philadelphia 76ers*,36.6,79.3,.461,6.8,18.9,.360,29.8,60.4,.493,16.2,21.0,.772,11.3,28.0,39.2,23.2,6.7,5.1,15.7,20.8,96.2
Cleveland Cavaliers*,35.8,78.8,.455,6.2,17.3,.357,29.7,61.5,.482,18.9,25.2,.748,9.9,30.5,40.4,21.0,6.8,4.7,13.3,20.3,96.7
Toronto Raptors*,36.7,80.1,.458,7.5,20.5,.368,29.1,59.6,.489,16.4,21.1,.776,10.1,31.5,41.6,21.9,5.7,4.1,14.0,18.4,97.3
Orlando Magic*,37.3,83.6,.446,6.3,17.6,.358,31.0,66.0,.469,18.2,24.1,.754,11.0,30.7,41.7,21.5,7.1,4.2,13.2,23.1,99.0
Washington Wizards*,36.8,79.7,.461,8.3,21.6,.386,28.4,58.2,.489,17.3,22.9,.754,11.0,30.2,41.2,23.9,6.5,4.4,14.0,20.2,99.2
Utah Jazz*,35.3,76.7,.461,6.2,17.3,.357,29.1,59.4,.491,22.5,30.1,.749,10.3,27.5,37.8,19.9,7.5,5.1,15.9,23.1,99.3
Atlanta Hawks*,38.0,82.1,.463,6.2,17.2,.362,31.7,64.9,.489,17.8,23.7,.752,11.8,29.1,40.9,22.3,7.5,5.1,13.7,21.9,100.0
Los Angeles Lakers*,38.1,85.6,.445,6.8,18.7,.362,31.4,67.0,.469,18.3,24.3,.752,12.0,30.7,42.8,21.9,7.7,4.5,14.2,22.6,101.3
Phoenix Suns*,41.1,90.0,.456,5.7,16.2,.353,35.4,73.8,.479,17.2,22.9,.749,13.4,30.5,43.9,19.6,7.3,3.8,13.4,21.1,105.0
Denver Nuggets*,40.7,89.1,.457,7.6,20.9,.363,33.1,68.2,.485,18.1,24.7,.730,12.7,32.7,45.4,25.7,7.9,4.8,16.4,23.8,107.0




