Team,all_stars
San Antonio Spurs*,2
Detroit Pistons*,2
Houston Rockets*,2
Dallas Mavericks*,2
Cleveland Cavaliers*,1
Chicago Bulls*,0
Orlando Magic*,1
Miami Heat*,2
New Jersey Nets*,1
Toronto Raptors*,1
Utah Jazz*,2
Phoenix Suns*,3
Los Angeles Lakers*,1
Denver Nuggets*,2
Washington Wizards*,2
Golden State Warriors*,0
