Team,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,Opp2P,Opp2PA,Opp2P%,OppFT,OppFTA,OppFT%,OppORB,OppDRB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF,OppPTS
Cleveland Cavaliers*,34.2,74.2,.461,4.8,13.5,.357,29.4,60.7,.484,16.6,22.0,.757,10.4,27.4,37.8,22.1,6.8,5.3,14.8,21.6,89.8
New York Knicks*,34.1,78.2,.437,4.8,14.2,.341,29.3,64.0,.458,22.0,29.9,.736,12.5,28.3,40.7,19.3,7.8,4.0,15.4,23.3,95.1
Atlanta Hawks*,36.6,79.1,.463,5.1,14.8,.347,31.5,64.3,.489,17.0,23.4,.726,12.8,29.2,42.0,21.1,7.4,3.9,16.6,22.1,95.3
Indiana Pacers*,35.6,78.1,.456,5.8,15.9,.364,29.8,62.2,.479,18.5,25.5,.726,12.8,26.3,39.1,22.0,8.4,5.1,16.7,25.1,95.5
Chicago Bulls*,35.6,78.0,.457,4.9,14.0,.349,30.8,64.0,.480,20.5,27.8,.738,13.0,27.5,40.5,20.9,8.4,4.5,18.1,23.1,96.7
Charlotte Hornets*,37.7,83.0,.454,5.2,15.7,.333,32.4,67.3,.482,16.8,22.7,.740,13.4,28.8,42.3,23.1,6.5,4.5,14.8,22.7,97.3
Utah Jazz*,34.7,76.6,.453,6.7,17.5,.382,28.0,59.2,.474,22.4,30.2,.741,11.2,25.9,37.1,20.9,7.9,5.2,16.5,25.0,98.4
Portland Trail Blazers*,36.0,78.8,.456,5.4,14.5,.372,30.6,64.3,.476,21.9,29.0,.754,10.8,28.0,38.8,21.8,7.8,4.9,15.9,23.6,99.2
Denver Nuggets*,37.2,81.6,.456,5.1,14.7,.347,32.1,66.9,.479,21.0,28.0,.750,12.5,26.9,39.4,21.8,7.8,5.6,14.2,23.9,100.5
San Antonio Spurs*,38.6,85.0,.454,5.2,15.3,.341,33.4,69.8,.479,18.2,25.5,.714,12.4,28.1,40.5,22.9,7.7,5.0,14.4,25.2,100.6
Houston Rockets*,39.0,86.1,.453,6.2,16.4,.376,32.9,69.7,.472,17.2,22.9,.751,14.2,29.1,43.3,23.7,9.1,4.5,15.5,21.7,101.4
Seattle SuperSonics*,36.7,80.9,.453,6.3,18.5,.343,30.3,62.5,.486,22.5,30.7,.735,13.0,26.9,39.9,22.5,8.0,6.0,18.1,24.7,102.2
Orlando Magic*,39.5,86.5,.457,5.7,15.1,.378,33.8,71.4,.474,19.0,25.7,.741,13.9,27.1,41.0,24.2,8.5,4.5,15.0,23.8,103.8
Boston Celtics*,40.3,83.2,.484,4.6,12.8,.358,35.7,70.4,.507,19.5,27.1,.720,13.0,28.5,41.5,24.4,8.0,5.5,15.0,23.4,104.7
Los Angeles Lakers*,40.2,86.0,.468,5.6,15.8,.352,34.7,70.2,.494,19.3,27.2,.708,15.6,30.2,45.8,26.9,7.9,6.0,17.0,22.0,105.3
Phoenix Suns*,40.5,84.9,.477,6.4,18.8,.340,34.1,66.1,.516,19.4,26.1,.744,12.7,29.6,42.3,26.2,8.0,4.8,15.7,24.7,106.8

