Team,all_stars
Orlando Magic*,2
Phoenix Suns*,2
Seattle SuperSonics*,3
San Antonio Spurs*,1
Utah Jazz*,2
Los Angeles Lakers*,1
Houston Rockets*,1
Portland Trail Blazers*,0
Boston Celtics*,0
Chicago Bulls*,1
Denver Nuggets*,1
Charlotte Hornets*,2
Indiana Pacers*,1
New York Knicks*,1
Atlanta Hawks*,0
Cleveland Cavaliers*,1
