Team,all_stars
San Antonio Spurs*,2
New York Knicks*,1
Portland Trail Blazers*,1
Miami Heat*,1
Utah Jazz*,2
Los Angeles Lakers*,2
Philadelphia 76ers*,1
Phoenix Suns*,1
Charlotte Hornets*,1
Minnesota Timberwolves*,1
Indiana Pacers*,2
Toronto Raptors*,1
Seattle SuperSonics*,1
Milwaukee Bucks*,2
Sacramento Kings*,1
Detroit Pistons*,2
