Season,Team,outcome
2014,Memphis Grizzlies*,1
2014,Chicago Bulls*,1
2016,San Antonio Spurs*,2
2016,Toronto Raptors*,3
2016,Cleveland Cavaliers*,5
2016,Miami Heat*,2
2016,Atlanta Hawks*,2
2016,Los Angeles Clippers*,1
2016,Indiana Pacers*,1
2016,Charlotte Hornets*,1
2016,Memphis Grizzlies*,1
2016,Detroit Pistons*,1
2016,Boston Celtics*,1
2016,Dallas Mavericks*,1
2016,Oklahoma City Thunder*,3
2016,Golden State Warriors*,4
2016,Portland Trail Blazers*,2
2016,Houston Rockets*,1
2019,Milwaukee Bucks*,3
2019,Golden State Warriors*,4
2019,Philadelphia 76ers*,2
2019,Los Angeles Clippers*,1
2019,Portland Trail Blazers*,3
2019,Oklahoma City Thunder*,1
2019,Toronto Raptors*,5
2019,Houston Rockets*,2
2019,Boston Celtics*,2
2019,Brooklyn Nets*,1
2019,San Antonio Spurs*,1
2019,Utah Jazz*,1
2019,Denver Nuggets*,2
2019,Indiana Pacers*,1
2019,Orlando Magic*,1
2019,Detroit Pistons*,1
2020,Milwaukee Bucks*,2
2020,Houston Rockets*,2
2020,Dallas Mavericks*,1
2020,Los Angeles Clippers*,2
2020,Portland Trail Blazers*,1
2020,Boston Celtics*,3
2020,Los Angeles Lakers*,5
2020,Toronto Raptors*,2
2020,Miami Heat*,4
2020,Brooklyn Nets*,1
2020,Denver Nuggets*,3
2020,Utah Jazz*,1
2020,Philadelphia 76ers*,1
2020,Oklahoma City Thunder*,1
2020,Indiana Pacers*,1
2020,Orlando Magic*,1
2021,New York Knicks*,1
2021,Los Angeles Lakers*,1
2021,Utah Jazz*,2
2021,Los Angeles Clippers*,3
2021,Miami Heat*,1
2021,Philadelphia 76ers*,2
2021,Phoenix Suns*,4
2021,Denver Nuggets*,2
2021,Dallas Mavericks*,1
2021,Boston Celtics*,1
2021,Atlanta Hawks*,3
2021,Memphis Grizzlies*,1
2021,Brooklyn Nets*,2
2021,Milwaukee Bucks*,5
2021,Portland Trail Blazers*,1
2021,Washington Wizards*,1
2023,Cleveland Cavaliers*,1
2023,Miami Heat*,4
2023,Philadelphia 76ers*,2
2023,Boston Celtics*,3
2023,Phoenix Suns*,2
2023,Denver Nuggets*,5
2023,Brooklyn Nets*,1
2023,Memphis Grizzlies*,1
2023,New York Knicks*,2
2023,Los Angeles Clippers*,1
2023,Milwaukee Bucks*,1
2023,Minnesota Timberwolves*,1
2023,Los Angeles Lakers*,3
2023,Golden State Warriors*,2
2023,Sacramento Kings*,1
2023,Atlanta Hawks*,1
