Team,outcome
San Antonio Spurs*,5
Detroit Pistons*,3
Houston Rockets*,1
Dallas Mavericks*,1
Cleveland Cavaliers*,4
Chicago Bulls*,2
Orlando Magic*,1
Miami Heat*,1
New Jersey Nets*,2
Toronto Raptors*,1
Utah Jazz*,3
Phoenix Suns*,2
Los Angeles Lakers*,1
Denver Nuggets*,1
Washington Wizards*,1
Golden State Warriors*,2
