Team,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,Opp2P,Opp2PA,Opp2P%,OppFT,OppFTA,OppFT%,OppORB,OppDRB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF,OppPTS
San Antonio Spurs*,34.9,78.8,.443,4.5,13.4,.334,30.4,65.4,.465,15.9,21.4,.740,10.1,29.0,39.1,17.3,7.1,4.1,14.3,21.2,90.1
Detroit Pistons*,34.4,77.3,.445,5.0,14.7,.339,29.4,62.6,.470,18.1,24.5,.740,11.9,29.3,41.2,20.1,6.4,3.5,14.7,20.3,91.8
Houston Rockets*,34.1,79.3,.429,5.8,16.4,.351,28.3,62.9,.450,18.3,24.4,.749,9.8,31.1,40.8,19.4,7.0,4.3,14.2,19.9,92.1
Dallas Mavericks*,34.0,76.1,.447,4.6,13.1,.349,29.5,63.0,.467,20.2,27.0,.746,10.2,27.9,38.1,17.9,6.9,3.8,14.5,22.1,92.8
Cleveland Cavaliers*,34.6,77.3,.448,4.9,15.0,.329,29.7,62.3,.476,18.8,25.6,.734,9.8,30.0,39.9,20.1,6.6,4.3,15.3,22.0,92.9
Chicago Bulls*,34.1,78.2,.435,5.9,16.9,.349,28.2,61.3,.459,19.7,27.1,.730,10.9,30.0,40.9,20.4,7.5,5.3,17.4,23.2,93.8
Orlando Magic*,33.4,75.5,.442,5.6,15.9,.353,27.8,59.6,.466,21.6,28.4,.760,10.5,27.0,37.6,19.6,8.3,4.6,15.0,23.4,94.0
Miami Heat*,35.3,79.5,.444,6.5,18.2,.355,28.8,61.2,.471,18.5,24.9,.742,11.2,30.1,41.3,20.2,6.9,3.8,14.5,21.8,95.5
New Jersey Nets*,35.5,79.0,.450,6.3,17.7,.357,29.2,61.2,.476,21.0,27.6,.762,10.6,30.8,41.4,22.0,7.1,4.5,14.5,23.0,98.3
Toronto Raptors*,37.2,80.4,.463,6.5,18.2,.357,30.7,62.2,.494,17.6,23.3,.754,10.3,32.2,42.5,21.2,6.0,3.9,15.1,21.8,98.5
Utah Jazz*,34.4,75.5,.455,6.2,17.4,.355,28.2,58.1,.485,23.7,30.9,.767,9.9,27.1,37.0,18.9,7.6,5.3,15.0,24.5,98.6
Phoenix Suns*,39.5,86.4,.457,6.1,16.9,.363,33.3,69.5,.480,17.8,23.2,.767,12.3,30.5,42.8,18.9,6.9,3.7,15.1,21.5,102.9
Los Angeles Lakers*,37.8,81.9,.461,6.4,17.8,.358,31.4,64.1,.490,21.5,28.3,.760,11.6,30.6,42.2,21.9,7.9,5.0,14.7,23.4,103.4
Denver Nuggets*,39.7,86.4,.460,6.8,19.1,.353,33.0,67.3,.490,17.5,23.7,.739,12.3,30.0,42.3,24.5,8.3,5.2,16.4,23.7,103.7
Washington Wizards*,38.6,81.7,.473,7.3,19.3,.377,31.3,62.4,.502,20.3,26.2,.777,11.9,31.1,43.0,23.7,6.3,4.6,15.7,23.5,104.9
Golden State Warriors*,38.7,83.8,.462,7.4,20.3,.366,31.2,63.5,.492,22.1,29.5,.750,13.1,33.3,46.4,24.7,8.3,4.9,18.6,22.3,106.9



