Team,Age,W,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Opp_eFG%,Opp_TOV%,DRB%,Opp_FT/FGA
Utah Jazz*,29.6,60,7.99,-0.23,7.76,114.3,105.7,+8.6,92.6,.392,.126,.587,.535,14.8,29.1,.306,.496,15.5,72.5,.292
Seattle SuperSonics*,28.7,57,8.18,-0.27,7.91,114.8,106.3,+8.5,95.5,.380,.194,.575,.527,14.1,32.6,.288,.492,16.1,68.7,.278
Orlando Magic*,26.6,57,7.06,-0.62,6.44,115.1,107.8,+7.3,95.1,.357,.205,.569,.539,14.0,34.0,.239,.490,13.3,68.4,.220
San Antonio Spurs*,29.0,62,5.96,-0.06,5.90,111.7,105.4,+6.3,94.6,.372,.173,.562,.516,13.8,30.9,.275,.485,13.0,72.3,.214
Chicago Bulls*,28.1,47,4.83,-0.51,4.32,109.5,104.3,+5.2,92.0,.308,.177,.546,.509,14.5,32.9,.224,.488,16.7,68.2,.263
Phoenix Suns*,29.2,59,3.88,-0.02,3.86,114.5,110.4,+4.1,95.9,.338,.227,.567,.524,12.7,29.7,.255,.515,14.0,69.8,.228
Portland Trail Blazers*,29.3,44,3.82,-0.02,3.80,109.7,105.7,+4.0,93.8,.313,.177,.521,.483,13.0,37.1,.218,.491,14.8,73.5,.277
Indiana Pacers*,28.7,52,3.70,-0.34,3.35,109.6,105.6,+4.0,90.0,.383,.158,.557,.507,15.5,32.8,.287,.493,15.8,68.6,.237
Charlotte Hornets*,28.0,50,3.28,-0.41,2.87,109.6,106.1,+3.5,91.2,.317,.219,.562,.517,14.3,26.0,.247,.485,13.8,68.5,.202
New York Knicks*,29.4,55,3.11,-0.33,2.78,107.2,103.8,+3.4,91.2,.331,.226,.550,.508,15.1,28.6,.243,.468,14.4,70.8,.281
Houston Rockets*,28.5,47,2.12,0.20,2.32,109.7,107.4,+2.3,94.2,.310,.267,.568,.529,15.0,26.9,.232,.489,13.9,67.7,.199
Atlanta Hawks*,28.2,42,1.28,-0.22,1.06,106.6,105.2,+1.4,89.8,.292,.237,.525,.487,13.9,31.6,.211,.495,15.6,68.4,.215
Denver Nuggets*,26.6,41,0.84,0.11,0.96,109.1,108.2,+0.9,91.5,.357,.180,.556,.511,15.6,32.0,.263,.487,13.2,70.2,.257
Cleveland Cavaliers*,28.3,43,0.62,-0.07,0.55,105.3,104.6,+0.7,84.8,.317,.165,.520,.472,14.2,31.8,.241,.493,15.0,72.4,.224
Los Angeles Lakers*,25.9,48,-0.22,0.21,-0.01,109.1,109.4,-0.3,95.2,.292,.210,.539,.500,13.4,31.3,.215,.500,14.8,64.4,.224
Boston Celtics*,27.2,35,-1.88,-0.04,-1.92,108.6,110.6,-2.0,94.0,.331,.144,.537,.491,14.3,33.1,.249,.512,13.6,68.6,.235


