Team,outcome
Orlando Magic*,4
Phoenix Suns*,2
Seattle SuperSonics*,1
San Antonio Spurs*,3
Utah Jazz*,1
Los Angeles Lakers*,2
Houston Rockets*,5
Portland Trail Blazers*,1
Boston Celtics*,1
Chicago Bulls*,2
Denver Nuggets*,1
Charlotte Hornets*,1
Indiana Pacers*,3
New York Knicks*,2
Atlanta Hawks*,1
Cleveland Cavaliers*,1
