Team,outcome
Milwaukee Bucks*,2
Houston Rockets*,2
Dallas Mavericks*,1
Los Angeles Clippers*,2
Portland Trail Blazers*,1
Boston Celtics*,3
Los Angeles Lakers*,5
Toronto Raptors*,2
Miami Heat*,4
Brooklyn Nets*,1
Denver Nuggets*,3
Utah Jazz*,1
Philadelphia 76ers*,1
Oklahoma City Thunder*,1
Indiana Pacers*,1
Orlando Magic*,1
