Team,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,Opp2P,Opp2PA,Opp2P%,OppFT,OppFTA,OppFT%,OppORB,OppDRB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF,OppPTS
Toronto Raptors*,37.8,88.3,.428,13.1,38.9,.337,24.7,49.5,.499,17.8,23.2,.769,10.9,35.1,46.1,25.6,7.2,5.5,16.8,20.4,106.5
Boston Celtics*,38.4,87.1,.441,11.8,34.8,.340,26.6,52.3,.508,18.8,24.5,.767,10.3,34.0,44.3,22.4,7.1,5.5,15.2,20.7,107.3
Indiana Pacers*,39.5,88.5,.446,11.5,33.6,.341,28.0,54.8,.511,17.0,21.6,.788,10.4,34.9,45.2,23.1,6.9,4.6,14.7,18.8,107.5
Los Angeles Lakers*,39.1,87.1,.448,11.6,33.4,.349,27.4,53.7,.510,17.9,22.9,.781,9.4,32.9,42.3,23.4,8.2,3.7,15.9,21.7,107.6
Orlando Magic*,40.4,86.9,.465,12.2,33.6,.364,28.2,53.3,.529,15.3,19.8,.771,9.0,35.8,44.9,24.7,7.0,4.6,14.6,19.5,108.3
Philadelphia 76ers*,39.8,86.0,.463,10.4,29.4,.353,29.4,56.5,.520,18.4,24.5,.751,8.6,33.2,41.8,22.8,7.0,4.0,13.8,20.5,108.4
Oklahoma City Thunder*,40.8,89.6,.455,11.3,33.3,.340,29.5,56.4,.523,15.5,19.6,.795,10.5,34.3,44.8,23.0,7.0,4.0,14.2,22.8,108.4
Milwaukee Bucks*,38.9,94.0,.414,14.0,39.3,.355,25.0,54.7,.457,16.7,21.2,.787,9.5,36.3,45.8,24.2,7.4,4.5,14.1,21.7,108.6
Utah Jazz*,40.7,89.1,.457,11.0,31.0,.353,29.7,58.1,.512,16.5,21.5,.767,9.6,33.1,42.7,21.5,7.9,4.6,12.3,20.8,108.8
Miami Heat*,38.8,86.7,.448,13.1,37.7,.347,25.7,48.9,.525,18.4,23.6,.783,9.2,33.3,42.5,24.6,7.5,4.1,14.0,21.7,109.1
Denver Nuggets*,40.0,86.5,.463,12.1,33.9,.358,27.9,52.6,.530,17.1,22.5,.759,10.1,32.6,42.6,25.4,7.2,4.4,14.3,20.5,109.2
Los Angeles Clippers*,39.5,90.2,.438,12.3,35.6,.345,27.2,54.6,.499,18.5,24.5,.756,10.7,34.6,45.3,23.7,7.5,4.7,14.1,22.9,109.9
Dallas Mavericks*,41.9,91.6,.458,12.3,34.9,.351,29.7,56.7,.523,16.0,21.0,.760,10.4,35.0,45.4,23.9,7.0,4.1,11.9,21.3,112.1
Brooklyn Nets*,41.4,92.9,.446,12.2,34.8,.350,29.2,58.1,.503,17.4,22.6,.769,10.6,35.3,45.9,22.6,7.7,5.3,12.8,21.1,112.3
Houston Rockets*,42.3,91.5,.462,12.2,35.0,.349,30.1,56.5,.532,18.0,23.7,.761,11.2,36.7,47.9,25.3,8.0,4.9,16.2,21.0,114.8
Portland Trail Blazers*,41.8,91.6,.456,13.6,35.4,.383,28.2,56.2,.501,19.1,24.7,.771,11.5,35.4,46.9,24.9,6.8,4.9,12.9,20.1,116.1










