Team,all_stars
Milwaukee Bucks*,2
Houston Rockets*,2
Dallas Mavericks*,1
Los Angeles Clippers*,1
Portland Trail Blazers*,1
Boston Celtics*,2
Los Angeles Lakers*,2
Toronto Raptors*,2
Miami Heat*,2
Brooklyn Nets*,0
Denver Nuggets*,1
Utah Jazz*,2
Philadelphia 76ers*,2
Oklahoma City Thunder*,1
Indiana Pacers*,1
Orlando Magic*,0
