Team,all_stars
San Antonio Spurs*,1
Detroit Pistons*,1
Indiana Pacers*,2
New Jersey Nets*,2
Houston Rockets*,2
Minnesota Timberwolves*,2
Miami Heat*,0
New Orleans Hornets*,2
New York Knicks*,0
Los Angeles Lakers*,2
Memphis Grizzlies*,0
Denver Nuggets*,0
Boston Celtics*,1
Milwaukee Bucks*,1
Sacramento Kings*,2
Dallas Mavericks*,1
