Team,outcome
Golden State Warriors*,2
Portland Trail Blazers*,3
Phoenix Suns*,1
Indiana Pacers*,1
Boston Celtics*,2
Chicago Bulls*,5
Atlanta Hawks*,1
San Antonio Spurs*,1
Houston Rockets*,1
Seattle SuperSonics*,1
Milwaukee Bucks*,1
Los Angeles Lakers*,4
Philadelphia 76ers*,2
Utah Jazz*,2
New York Knicks*,1
Detroit Pistons*,3
