Team,all_stars
San Antonio Spurs*,2
New York Knicks*,0
Chicago Bulls*,1
Cleveland Cavaliers*,1
Indiana Pacers*,2
Miami Heat*,1
Atlanta Hawks*,2
Portland Trail Blazers*,0
Seattle SuperSonics*,2
Utah Jazz*,1
Phoenix Suns*,1
Charlotte Hornets*,1
Los Angeles Lakers*,4
New Jersey Nets*,1
Houston Rockets*,0
Minnesota Timberwolves*,1
