Team,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,Opp2P,Opp2PA,Opp2P%,OppFT,OppFTA,OppFT%,OppORB,OppDRB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF,OppPTS
San Antonio Spurs*,33.4,81.2,.411,4.1,12.5,.328,29.3,68.6,.426,17.7,23.9,.740,12.4,27.3,39.7,19.0,8.9,4.6,12.7,22.5,88.5
New York Knicks*,32.0,74.8,.428,4.0,12.7,.317,28.0,62.0,.451,21.1,28.1,.750,10.4,28.5,39.0,19.3,8.0,3.8,15.0,20.8,89.1
Chicago Bulls*,34.1,79.1,.431,4.0,12.5,.322,30.1,66.6,.452,17.4,23.9,.729,12.4,27.3,39.7,19.5,8.0,4.3,15.5,21.6,89.6
Cleveland Cavaliers*,32.8,75.8,.433,4.2,12.1,.344,28.6,63.7,.450,20.0,26.5,.755,11.6,27.2,38.7,21.8,8.6,5.5,17.6,23.2,89.8
Indiana Pacers*,34.0,78.7,.432,3.3,10.6,.316,30.7,68.1,.450,18.6,25.6,.728,13.6,27.5,41.1,19.4,7.9,4.5,15.1,22.5,89.9
Miami Heat*,33.2,77.5,.428,3.7,11.2,.331,29.5,66.3,.445,19.9,26.8,.744,12.9,27.2,40.1,19.9,7.8,4.5,14.8,22.6,90.0
Atlanta Hawks*,36.1,81.7,.442,4.2,12.4,.342,31.9,69.3,.460,15.9,21.6,.735,13.2,26.2,39.4,21.4,7.5,4.5,13.6,23.1,92.3
Portland Trail Blazers*,34.3,79.5,.431,4.5,13.3,.343,29.7,66.3,.449,19.8,27.5,.722,12.3,26.8,39.2,21.5,9.4,5.4,14.1,22.2,92.9
Seattle SuperSonics*,35.3,79.2,.446,5.1,15.7,.324,30.2,63.5,.476,17.7,24.4,.724,13.9,28.2,42.1,22.3,7.8,4.9,17.0,22.2,93.4
Utah Jazz*,34.2,77.9,.439,4.9,13.7,.357,29.3,64.2,.457,21.1,27.9,.757,12.0,24.5,36.5,20.6,7.9,5.2,14.1,26.0,94.4
Phoenix Suns*,35.6,80.7,.442,4.8,13.3,.361,30.8,67.4,.458,18.3,25.0,.732,12.8,28.6,41.4,22.0,8.8,3.9,16.6,21.6,94.4
Charlotte Hornets*,36.3,78.3,.464,4.5,13.0,.347,31.8,65.3,.487,17.5,24.0,.731,11.8,27.5,39.3,22.0,7.1,4.5,15.1,23.2,94.6
Los Angeles Lakers*,36.4,82.9,.439,4.6,13.1,.355,31.8,69.9,.455,20.4,27.8,.732,13.7,28.5,42.2,22.5,8.0,5.2,15.6,26.2,97.8
New Jersey Nets*,36.8,78.1,.471,4.3,12.6,.346,32.4,65.6,.495,20.2,27.0,.748,13.2,28.2,41.4,21.6,7.5,6.3,18.1,24.7,98.1
Houston Rockets*,38.7,82.5,.469,5.0,13.7,.365,33.7,68.9,.489,17.1,23.1,.744,12.7,28.4,41.1,23.3,8.9,4.5,14.3,21.3,99.5
Minnesota Timberwolves*,37.5,83.7,.448,5.3,14.7,.358,32.2,69.0,.468,20.1,27.1,.742,13.6,29.4,43.0,23.3,7.4,5.0,15.0,22.7,100.4


