Team,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Los Angeles Lakers*,38.4,79.7,.481,6.1,17.3,.351,32.3,62.5,.517,22.7,33.5,.679,13.2,30.1,43.3,24.5,9.0,6.8,15.3,22.7,105.5
Minnesota Timberwolves*,38.5,83.5,.461,3.7,10.6,.347,34.8,72.8,.478,20.4,27.5,.743,13.0,29.6,42.6,25.2,7.8,5.2,13.9,23.0,101.1
Utah Jazz*,36.5,74.5,.490,3.0,8.2,.372,33.5,66.4,.504,24.9,32.2,.773,11.7,29.3,41.1,25.2,7.9,5.0,15.4,23.9,101.0
Seattle SuperSonics*,37.2,78.8,.473,7.6,19.1,.396,29.6,59.6,.497,18.5,25.7,.721,11.4,27.1,38.5,24.2,9.8,4.6,14.0,22.1,100.6
Phoenix Suns*,38.3,81.8,.468,5.3,14.8,.356,33.0,67.1,.492,17.8,23.8,.749,12.1,29.9,42.0,25.9,9.2,5.2,15.1,21.5,99.6
New Jersey Nets*,37.3,84.5,.441,3.8,11.4,.331,33.5,73.1,.458,21.3,28.7,.744,16.4,26.1,42.5,20.5,9.5,3.8,14.4,23.4,99.6
Houston Rockets*,35.9,79.4,.452,7.0,20.4,.343,28.9,59.1,.490,19.9,25.9,.771,12.0,28.7,40.7,21.9,8.4,3.6,15.8,20.2,98.8
Chicago Bulls*,37.4,82.9,.451,3.8,11.7,.323,33.6,71.2,.471,18.2,24.5,.743,15.2,29.7,44.9,23.8,8.5,4.3,14.4,20.6,96.7
Charlotte Hornets*,36.2,77.4,.468,4.2,11.0,.383,32.0,66.3,.482,20.0,26.7,.751,12.0,28.5,40.6,23.7,8.4,3.8,15.2,21.4,96.6
Indiana Pacers*,35.6,75.9,.469,4.9,12.5,.390,30.7,63.3,.485,19.9,26.0,.764,10.7,28.6,39.3,23.0,7.9,4.5,14.2,22.7,96.0
Atlanta Hawks*,35.2,77.5,.455,4.1,12.4,.332,31.1,65.1,.478,21.3,28.2,.756,13.5,29.5,43.0,19.1,8.0,6.0,14.8,20.4,95.9
Miami Heat*,34.8,77.2,.450,6.7,18.8,.355,28.1,58.3,.481,18.8,25.4,.739,12.5,29.5,42.0,21.4,8.1,5.2,15.0,24.2,95.0
Portland Trail Blazers*,35.2,78.0,.451,4.0,12.8,.309,31.2,65.2,.479,20.0,27.1,.737,13.2,30.8,44.0,21.5,7.1,5.7,16.9,22.7,94.3
San Antonio Spurs*,35.3,75.5,.468,3.7,10.5,.350,31.7,64.9,.488,18.2,26.4,.688,12.0,32.2,44.2,22.4,6.3,6.9,16.1,21.1,92.5
Cleveland Cavaliers*,34.4,75.7,.454,3.6,9.8,.372,30.7,65.9,.466,20.2,26.7,.756,11.6,28.4,40.1,23.1,9.9,5.1,17.3,23.6,92.5
New York Knicks*,34.9,78.2,.447,4.7,13.9,.335,30.3,64.3,.471,17.1,22.1,.772,11.9,29.7,41.6,21.8,7.7,3.4,15.2,23.7,91.6

