Team,outcome
San Antonio Spurs*,2
New York Knicks*,2
Chicago Bulls*,5
Cleveland Cavaliers*,1
Indiana Pacers*,3
Miami Heat*,1
Atlanta Hawks*,1
Portland Trail Blazers*,1
Seattle SuperSonics*,2
Utah Jazz*,4
Phoenix Suns*,1
Charlotte Hornets*,2
Los Angeles Lakers*,3
New Jersey Nets*,1
Houston Rockets*,1
Minnesota Timberwolves*,1
