Team,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,Opp2P,Opp2PA,Opp2P%,OppFT,OppFTA,OppFT%,OppORB,OppDRB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF,OppPTS
Memphis Grizzlies*,33.5,77.0,.435,6.1,18.2,.338,27.4,58.8,.465,16.1,21.5,.748,10.3,28.8,39.1,19.5,7.3,5.5,15.5,20.0,89.3
Indiana Pacers*,34.5,82.2,.420,5.4,16.6,.327,29.1,65.6,.444,16.2,21.3,.760,11.2,29.6,40.9,19.2,7.5,5.7,13.5,21.9,90.7
Chicago Bulls*,35.4,80.1,.443,5.5,16.0,.346,29.9,64.1,.467,16.5,22.3,.739,11.0,30.1,41.1,18.8,7.3,5.8,13.7,19.6,92.9
Los Angeles Clippers*,34.6,78.0,.443,7.6,20.5,.373,26.9,57.5,.468,17.9,23.9,.749,10.9,28.2,39.1,22.1,7.4,4.1,16.1,20.9,94.6
Miami Heat*,35.6,80.9,.440,7.6,21.7,.350,28.0,59.1,.473,16.2,21.2,.766,11.2,28.9,40.1,20.2,7.9,3.2,15.6,20.4,95.0
Brooklyn Nets*,37.4,80.7,.464,6.3,17.3,.366,31.1,63.4,.490,14.0,19.2,.731,10.7,28.5,39.2,21.4,7.5,4.8,13.4,21.4,95.1
New York Knicks*,35.6,77.6,.458,7.8,21.8,.357,27.8,55.8,.498,16.8,22.2,.757,10.0,31.6,41.6,19.3,6.4,4.0,15.1,19.2,95.7
Oklahoma City Thunder*,36.2,85.0,.425,7.4,21.5,.346,28.7,63.5,.452,16.7,21.6,.774,12.0,28.7,40.7,20.5,8.2,3.9,14.8,20.7,96.5
San Antonio Spurs*,37.5,84.9,.442,6.3,17.9,.353,31.2,66.9,.466,15.2,20.0,.760,11.1,31.4,42.5,21.4,8.2,4.9,14.9,19.1,96.6
Boston Celtics*,36.1,82.0,.441,6.8,19.9,.342,29.3,62.1,.472,17.7,23.9,.740,11.4,32.1,43.6,21.6,7.8,4.7,15.3,19.4,96.7
Atlanta Hawks*,37.5,83.2,.450,7.6,19.9,.379,29.9,63.3,.473,15.0,19.7,.763,11.3,32.4,43.7,22.3,8.4,4.3,15.2,18.8,97.5
Golden State Warriors*,37.2,84.8,.439,8.0,23.1,.347,29.2,61.7,.473,17.9,23.9,.748,11.1,31.7,42.7,23.5,8.2,4.9,13.5,19.2,100.3
Milwaukee Bucks*,38.4,84.7,.454,6.5,18.5,.348,32.0,66.2,.483,17.0,22.5,.759,12.4,33.6,46.0,23.1,8.0,4.4,16.0,19.1,100.4
Los Angeles Lakers*,39.7,87.6,.453,7.5,21.0,.357,32.2,66.6,.483,14.2,19.4,.732,11.5,31.1,42.7,23.4,8.5,4.8,12.9,23.1,101.0
Denver Nuggets*,38.1,85.7,.444,8.4,23.1,.363,29.7,62.6,.474,16.6,22.7,.731,12.4,29.2,41.6,23.6,8.0,6.8,15.9,21.6,101.1
Houston Rockets*,38.8,85.5,.454,8.1,21.9,.368,30.8,63.5,.484,16.8,21.6,.776,10.7,31.0,41.6,22.7,8.5,6.1,14.8,20.4,102.5






