Team,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Chicago Bulls*,40.2,84.0,.478,6.6,16.5,.403,33.5,67.6,.496,18.2,24.4,.746,15.2,29.4,44.6,24.8,9.1,4.2,14.3,22.0,105.2
Seattle SuperSonics*,37.5,78.1,.480,7.1,19.5,.364,30.4,58.6,.519,22.5,29.6,.760,11.6,29.9,41.5,24.4,10.8,4.8,17.6,24.0,104.5
Orlando Magic*,39.1,81.0,.482,7.6,20.1,.378,31.5,60.9,.517,18.8,27.2,.691,11.8,29.3,41.1,25.4,8.1,5.0,14.1,20.8,104.5
Phoenix Suns*,38.5,81.4,.473,4.0,12.0,.332,34.5,69.4,.498,23.3,30.1,.771,12.3,30.5,42.8,24.4,7.6,4.0,14.7,21.7,104.3
San Antonio Spurs*,38.4,80.5,.477,6.3,16.1,.392,32.1,64.4,.498,20.3,27.6,.736,11.4,31.5,43.0,24.9,7.9,6.5,14.6,22.2,103.4
Los Angeles Lakers*,39.2,81.8,.480,5.8,16.6,.351,33.4,65.2,.512,18.6,25.0,.746,12.1,28.1,40.2,25.4,8.8,6.3,14.2,20.8,102.9
Utah Jazz*,38.2,78.3,.488,4.6,12.4,.372,33.6,65.9,.509,21.6,28.1,.768,12.1,28.9,41.0,26.1,8.1,5.1,14.8,25.0,102.5
Houston Rockets*,37.5,81.0,.464,7.8,21.5,.362,29.8,59.5,.501,19.6,25.7,.765,11.2,29.9,41.1,24.2,7.9,5.8,15.2,21.4,102.5
Sacramento Kings*,36.2,79.2,.457,5.6,14.6,.387,30.6,64.6,.473,21.5,29.4,.731,13.6,28.6,42.2,22.3,7.8,5.3,17.6,26.0,99.5
Indiana Pacers*,36.3,75.7,.480,4.4,11.9,.373,31.9,63.8,.500,22.2,29.5,.755,12.3,27.6,39.9,23.4,7.1,3.9,16.3,24.8,99.3
Portland Trail Blazers*,37.4,81.6,.458,5.9,16.6,.353,31.5,65.0,.485,18.7,28.3,.662,14.1,31.4,45.6,21.5,7.2,5.1,16.8,22.7,99.3
Atlanta Hawks*,36.4,81.3,.448,6.9,19.5,.355,29.5,61.8,.477,18.6,24.5,.757,14.4,26.2,40.6,19.6,9.4,3.9,15.0,20.9,98.3
New York Knicks*,36.6,77.8,.471,5.9,15.7,.377,30.7,62.2,.494,18.0,23.8,.757,10.1,29.9,40.0,22.2,7.9,4.6,15.5,22.7,97.2
Miami Heat*,35.4,77.4,.457,6.7,17.8,.379,28.7,59.6,.481,18.9,26.7,.710,12.2,30.4,42.6,21.4,7.0,5.4,17.0,26.3,96.5
Detroit Pistons*,34.3,74.7,.459,6.6,16.5,.404,27.6,58.2,.475,20.2,26.9,.751,10.8,29.8,40.5,19.6,6.2,4.3,14.8,23.8,95.4
Cleveland Cavaliers*,33.7,73.1,.460,7.3,19.3,.377,26.4,53.9,.490,16.5,21.6,.763,10.6,25.1,35.6,22.2,8.2,4.1,13.1,20.5,91.1
