Team,outcome
Chicago Bulls*,5
Seattle SuperSonics*,4
Orlando Magic*,3
Phoenix Suns*,1
San Antonio Spurs*,2
Los Angeles Lakers*,1
Utah Jazz*,3
Houston Rockets*,2
Sacramento Kings*,1
Indiana Pacers*,1
Portland Trail Blazers*,1
Atlanta Hawks*,2
New York Knicks*,2
Miami Heat*,1
Detroit Pistons*,1
Cleveland Cavaliers*,1
