Team,Age,W,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Opp_eFG%,Opp_TOV%,DRB%,Opp_FT/FGA
Chicago Bulls*,29.9,72,12.24,-0.44,11.80,115.2,101.8,+13.4,91.1,.291,.196,.555,.517,13.1,36.9,.217,.482,16.1,71.1,.222
Seattle SuperSonics*,29.6,64,7.79,-0.40,7.40,110.3,102.1,+8.2,93.8,.379,.249,.574,.526,16.2,29.7,.288,.479,16.7,69.5,.252
Utah Jazz*,29.5,55,6.59,-0.34,6.25,113.3,106.1,+7.2,90.0,.359,.158,.566,.517,14.1,31.6,.276,.489,15.1,71.7,.295
San Antonio Spurs*,29.4,59,6.30,-0.33,5.98,110.2,103.5,+6.7,93.3,.342,.200,.558,.516,13.6,27.5,.252,.472,13.9,70.0,.216
Orlando Magic*,27.7,60,5.56,-0.16,5.40,112.9,106.9,+6.0,91.8,.336,.248,.562,.529,13.2,29.0,.232,.491,14.0,68.8,.223
Los Angeles Lakers*,27.1,53,4.45,-0.24,4.21,111.4,106.6,+4.8,92.4,.306,.203,.555,.515,13.3,30.1,.228,.491,14.9,66.8,.205
Indiana Pacers*,29.4,52,3.24,-0.14,3.11,110.8,107.2,+3.6,89.3,.389,.157,.560,.509,15.5,33.0,.294,.491,14.7,69.3,.271
Cleveland Cavaliers*,27.5,47,2.59,-0.09,2.49,109.9,106.7,+3.2,82.3,.296,.264,.551,.510,13.7,28.6,.226,.506,16.3,70.2,.242
Detroit Pistons*,26.8,46,2.50,-0.05,2.45,107.9,105.1,+2.8,87.7,.360,.221,.551,.504,14.6,28.0,.271,.483,13.7,71.7,.229
Portland Trail Blazers*,28.1,44,2.35,-0.14,2.21,106.0,103.5,+2.5,92.6,.347,.203,.528,.494,15.2,33.4,.230,.478,13.5,73.4,.236
New York Knicks*,30.4,47,2.32,-0.08,2.24,106.0,103.5,+2.5,91.0,.306,.201,.550,.509,14.9,25.5,.232,.476,14.8,71.1,.251
Houston Rockets*,29.0,48,1.74,-0.12,1.63,109.3,107.4,+1.9,93.2,.317,.265,.555,.512,14.1,26.9,.243,.495,13.6,68.6,.206
Miami Heat*,27.4,42,1.43,0.03,1.46,105.3,103.8,+1.5,91.1,.345,.230,.541,.501,16.0,30.1,.245,.469,14.8,71.8,.298
Atlanta Hawks*,28.1,46,1.22,0.07,1.29,109.4,108.0,+1.4,89.6,.302,.239,.534,.490,14.0,34.0,.229,.512,16.3,67.1,.217
Phoenix Suns*,27.9,41,0.33,-0.05,0.28,110.3,110.0,+0.3,93.2,.370,.147,.551,.498,13.5,29.8,.286,.511,13.3,71.4,.225
Sacramento Kings*,26.6,39,-2.71,0.09,-2.62,106.2,109.1,-2.9,93.4,.371,.184,.540,.493,16.0,32.5,.271,.498,15.1,69.0,.302


