Team,outcome
Milwaukee Bucks*,3
Golden State Warriors*,4
Philadelphia 76ers*,2
Los Angeles Clippers*,1
Portland Trail Blazers*,3
Oklahoma City Thunder*,1
Toronto Raptors*,5
Houston Rockets*,2
Boston Celtics*,2
Brooklyn Nets*,1
San Antonio Spurs*,1
Utah Jazz*,1
Denver Nuggets*,2
Indiana Pacers*,1
Orlando Magic*,1
Detroit Pistons*,1
