Team,outcome
Phoenix Suns*,4
Charlotte Hornets*,2
Portland Trail Blazers*,1
Seattle SuperSonics*,3
Indiana Pacers*,1
Cleveland Cavaliers*,2
Atlanta Hawks*,1
Los Angeles Clippers*,1
Utah Jazz*,1
San Antonio Spurs*,2
Chicago Bulls*,5
Los Angeles Lakers*,1
Houston Rockets*,2
Boston Celtics*,1
New Jersey Nets*,1
New York Knicks*,3
