Team,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,Opp2P,Opp2PA,Opp2P%,OppFT,OppFTA,OppFT%,OppORB,OppDRB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF,OppPTS
New York Knicks*,34.4,80.7,.426,2.8,9.2,.305,31.6,71.6,.442,23.8,31.5,.755,12.6,28.4,40.9,20.2,8.0,4.7,16.6,24.5,95.4
Chicago Bulls*,38.3,80.8,.474,3.0,8.4,.361,35.3,72.4,.487,19.3,24.8,.779,12.7,27.6,40.3,23.4,7.3,4.4,16.7,21.1,98.9
Houston Rockets*,39.7,86.9,.457,3.0,8.9,.332,36.7,78.0,.471,17.5,22.9,.763,14.2,28.0,42.2,24.0,8.7,4.0,15.0,21.9,99.8
Cleveland Cavaliers*,41.1,88.2,.466,2.8,8.5,.329,38.3,79.7,.481,16.3,21.2,.766,13.6,29.0,42.6,25.7,7.4,4.5,14.7,22.3,101.3
Seattle SuperSonics*,38.3,81.8,.469,3.3,9.9,.337,35.0,71.9,.487,21.3,28.0,.759,13.1,27.1,40.2,22.4,8.0,5.0,18.5,22.6,101.3
New Jersey Nets*,39.4,84.7,.465,2.5,7.5,.325,37.0,77.2,.479,20.3,27.4,.741,13.4,28.6,42.0,21.8,9.5,5.1,15.9,22.9,101.6
Boston Celtics*,39.4,85.1,.463,2.6,7.9,.332,36.8,77.2,.476,21.3,27.7,.771,13.3,29.0,42.3,24.0,7.8,4.7,14.4,20.4,102.8
San Antonio Spurs*,40.1,87.5,.458,3.3,9.1,.361,36.8,78.4,.470,19.3,25.0,.772,13.2,29.1,42.3,23.2,8.0,4.5,13.8,24.4,102.8
Utah Jazz*,39.7,85.0,.467,3.3,10.2,.325,36.4,74.8,.487,21.3,28.6,.744,13.7,28.2,41.9,23.5,7.9,5.7,15.7,24.0,104.0
Portland Trail Blazers*,40.7,86.9,.468,3.4,9.9,.342,37.3,77.0,.485,20.6,27.1,.760,12.5,30.8,43.3,25.1,7.9,5.5,17.1,25.5,105.4
Los Angeles Lakers*,41.9,86.8,.483,3.0,8.9,.337,38.9,77.9,.500,18.6,25.0,.746,14.1,29.4,43.5,26.0,8.4,4.7,16.3,22.8,105.5
Indiana Pacers*,39.8,84.8,.469,2.6,8.6,.306,37.1,76.2,.487,23.9,32.1,.743,14.5,28.6,43.1,24.2,8.5,4.7,14.4,24.1,106.1
Phoenix Suns*,42.7,89.1,.479,3.0,9.1,.333,39.6,80.0,.496,18.3,25.3,.723,13.6,28.2,41.9,25.7,8.6,6.2,16.2,24.9,106.7
Los Angeles Clippers*,40.4,86.0,.470,3.4,9.6,.348,37.0,76.4,.485,22.6,29.7,.763,14.4,29.7,44.1,24.0,9.3,5.5,17.6,21.6,106.8
Atlanta Hawks*,42.8,86.3,.496,3.4,10.2,.337,39.4,76.1,.517,19.3,25.5,.758,13.2,29.4,42.6,26.7,9.0,4.4,16.6,22.9,108.4
Charlotte Hornets*,44.3,93.9,.472,2.9,9.2,.311,41.5,84.7,.490,18.9,25.4,.744,16.5,29.3,45.8,27.8,7.3,5.3,15.2,23.5,110.4

