Team,outcome
Charlotte Bobcats*,1
Miami Heat*,1
Portland Trail Blazers*,1
Orlando Magic*,3
Boston Celtics*,4
Cleveland Cavaliers*,2
Milwaukee Bucks*,1
San Antonio Spurs*,2
Los Angeles Lakers*,5
Atlanta Hawks*,2
Oklahoma City Thunder*,1
Utah Jazz*,2
Chicago Bulls*,1
Dallas Mavericks*,1
Denver Nuggets*,1
Phoenix Suns*,3
