Team,all_stars
Charlotte Bobcats*,1
Miami Heat*,1
Portland Trail Blazers*,1
Orlando Magic*,1
Boston Celtics*,3
Cleveland Cavaliers*,1
Milwaukee Bucks*,0
San Antonio Spurs*,1
Los Angeles Lakers*,2
Atlanta Hawks*,2
Oklahoma City Thunder*,1
Utah Jazz*,1
Chicago Bulls*,1
Dallas Mavericks*,2
Denver Nuggets*,2
Phoenix Suns*,2
