Team,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,Opp2P,Opp2PA,Opp2P%,OppFT,OppFTA,OppFT%,OppORB,OppDRB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF,OppPTS
Charlotte Bobcats*,35.7,79.7,.448,7.0,20.7,.338,28.7,59.0,.486,15.5,20.9,.743,10.6,29.0,39.6,20.3,7.5,6.1,15.3,22.0,93.8
Miami Heat*,34.3,78.1,.439,6.4,18.7,.342,27.9,59.5,.469,19.2,25.5,.754,10.4,30.3,40.7,18.8,6.3,4.3,14.4,20.0,94.2
Portland Trail Blazers*,36.0,77.5,.464,5.9,17.1,.343,30.1,60.4,.499,17.0,22.8,.745,9.8,28.3,38.1,19.3,5.9,4.1,13.5,21.5,94.8
Orlando Magic*,36.0,82.2,.438,6.4,17.5,.363,29.7,64.7,.459,16.8,22.3,.754,9.8,30.3,40.0,18.9,6.7,3.5,12.8,22.2,95.3
Boston Celtics*,35.1,77.9,.451,5.7,16.8,.342,29.4,61.2,.481,19.6,26.2,.746,10.6,29.5,40.1,19.3,7.0,4.7,15.6,21.7,95.6
Cleveland Cavaliers*,35.8,80.9,.442,6.4,18.4,.347,29.4,62.5,.471,17.6,23.3,.757,9.7,28.9,38.5,20.3,6.6,4.0,12.7,20.8,95.6
Milwaukee Bucks*,35.0,77.6,.451,5.3,15.6,.343,29.7,62.0,.478,20.6,27.0,.765,9.6,33.2,42.8,19.3,7.0,5.1,15.3,20.3,96.0
San Antonio Spurs*,36.9,81.6,.452,5.0,14.6,.343,31.9,67.0,.476,17.5,23.1,.756,9.9,29.6,39.5,19.2,6.9,5.1,12.6,20.4,96.3
Los Angeles Lakers*,37.2,83.4,.446,6.3,19.3,.328,30.9,64.1,.481,16.2,21.7,.750,11.1,31.0,42.2,21.9,7.0,4.4,14.1,21.2,97.0
Atlanta Hawks*,37.2,80.8,.460,5.9,17.0,.345,31.3,63.8,.491,16.8,22.6,.745,11.2,30.1,41.4,21.0,6.2,4.4,13.8,19.3,97.0
Oklahoma City Thunder*,36.7,81.9,.448,5.9,17.2,.340,30.8,64.7,.476,18.8,24.6,.764,11.4,29.2,40.7,19.7,7.5,4.7,15.1,21.4,98.0
Utah Jazz*,35.5,78.9,.449,6.7,19.0,.354,28.7,59.9,.480,21.2,27.9,.762,10.2,29.0,39.2,19.9,7.7,5.4,15.1,22.2,98.9
Chicago Bulls*,37.1,84.0,.442,7.1,20.5,.348,30.0,63.5,.472,17.8,23.9,.744,11.2,31.6,42.7,20.9,7.0,5.3,13.3,20.0,99.1
Dallas Mavericks*,37.9,83.0,.457,6.4,18.5,.347,31.5,64.5,.488,17.1,22.5,.758,11.2,31.6,42.9,20.2,6.9,4.1,14.6,20.1,99.3
Denver Nuggets*,37.7,82.5,.456,6.4,18.3,.349,31.3,64.2,.487,20.7,26.9,.768,11.6,30.6,42.3,21.0,7.0,5.3,15.1,23.7,102.4
Phoenix Suns*,39.5,87.4,.452,6.8,19.3,.355,32.6,68.1,.479,19.6,25.8,.760,13.2,29.2,42.3,20.8,7.9,4.5,13.0,21.8,105.3





