Team,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,Opp2P,Opp2PA,Opp2P%,OppFT,OppFTA,OppFT%,OppORB,OppDRB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF,OppPTS
Detroit Pistons*,37.2,82.2,.453,1.9,6.1,.312,35.3,76.1,.464,20.4,26.5,.770,12.2,27.7,40.0,21.2,7.1,3.5,13.7,24.2,96.8
Los Angeles Lakers*,40.9,88.6,.462,2.2,7.0,.311,38.7,81.6,.475,15.6,20.7,.752,13.8,26.7,40.5,24.4,8.1,4.1,14.3,22.2,99.6
Utah Jazz*,39.2,85.5,.459,2.5,8.1,.307,36.7,77.4,.475,19.7,25.5,.773,13.4,27.8,41.2,22.7,8.4,5.0,15.3,24.3,100.7
Chicago Bulls*,39.8,84.0,.475,2.3,7.6,.304,37.5,76.3,.492,19.0,24.6,.770,13.0,26.4,39.3,24.6,7.7,4.2,17.1,22.3,101.0
San Antonio Spurs*,39.8,88.9,.448,2.7,8.6,.310,37.2,80.3,.463,20.3,26.7,.761,13.7,27.7,41.4,23.5,9.8,5.3,15.4,24.5,102.6
Houston Rockets*,40.7,89.2,.456,2.2,7.6,.295,38.5,81.6,.471,19.6,25.4,.771,15.1,29.6,44.8,24.0,8.7,4.4,17.3,21.8,103.2
New York Knicks*,41.6,87.3,.476,2.2,6.6,.336,39.4,80.7,.488,17.9,23.2,.773,13.6,28.5,42.1,24.4,8.8,4.5,15.1,22.1,103.3
Milwaukee Bucks*,40.1,82.6,.486,2.3,7.0,.329,37.8,75.6,.500,21.4,28.2,.759,13.5,28.2,41.7,24.7,8.6,5.6,18.7,23.3,104.0
Seattle SuperSonics*,40.1,82.2,.488,2.5,7.7,.327,37.5,74.5,.504,22.8,30.0,.759,13.5,26.2,39.7,22.6,8.9,5.4,18.1,22.2,105.4
Philadelphia 76ers*,43.1,90.6,.476,2.4,8.0,.297,40.7,82.6,.493,16.9,21.9,.774,14.1,30.7,44.8,27.1,8.4,4.8,14.4,22.7,105.6
Boston Celtics*,41.7,92.2,.452,2.3,7.5,.313,39.4,84.7,.465,20.0,25.4,.786,14.5,26.9,41.4,25.0,9.0,4.6,13.7,20.2,105.7
Portland Trail Blazers*,40.5,88.7,.456,2.9,8.9,.323,37.6,79.8,.471,22.2,28.5,.777,13.2,28.7,41.9,25.0,7.7,4.3,17.0,25.3,106.0
Phoenix Suns*,42.2,91.5,.462,2.2,7.1,.312,40.0,84.3,.474,20.8,27.4,.760,14.6,28.0,42.6,24.0,8.3,5.6,15.6,25.1,107.5
Atlanta Hawks*,43.5,88.0,.494,2.6,7.6,.349,40.9,80.5,.508,19.4,25.2,.767,13.2,30.5,43.6,28.3,8.4,4.4,15.7,24.8,109.0
Indiana Pacers*,43.6,89.0,.490,2.3,7.4,.305,41.4,81.6,.507,22.6,30.4,.743,14.7,28.2,42.9,25.2,8.9,4.3,15.4,24.8,112.1
Golden State Warriors*,43.2,89.6,.482,2.7,8.4,.322,40.5,81.3,.499,25.9,34.1,.758,15.8,30.2,46.0,26.4,8.9,5.3,18.7,26.9,115.0
