Team,outcome
San Antonio Spurs*,2
Detroit Pistons*,5
Indiana Pacers*,3
New Jersey Nets*,2
Houston Rockets*,1
Minnesota Timberwolves*,3
Miami Heat*,2
New Orleans Hornets*,1
New York Knicks*,1
Los Angeles Lakers*,4
Memphis Grizzlies*,1
Denver Nuggets*,1
Boston Celtics*,1
Milwaukee Bucks*,1
Sacramento Kings*,2
Dallas Mavericks*,1
