Team,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,Opp2P,Opp2PA,Opp2P%,OppFT,OppFTA,OppFT%,OppORB,OppDRB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF,OppPTS
Indiana Pacers*,38.7,86.1,.450,11.4,32.1,.354,27.4,54.0,.507,15.8,21.0,.756,10.5,33.1,43.7,24.5,7.4,5.2,15.7,20.0,104.7
Utah Jazz*,40.0,88.5,.452,9.8,27.7,.355,30.1,60.7,.496,16.7,22.2,.753,8.9,33.7,42.6,21.6,8.5,4.6,13.9,22.4,106.5
Orlando Magic*,39.9,87.6,.456,10.5,30.2,.347,29.5,57.4,.513,16.3,20.9,.778,9.0,35.6,44.6,23.1,7.0,4.4,13.0,18.7,106.6
Denver Nuggets*,39.6,86.4,.458,10.8,31.9,.339,28.8,54.5,.528,16.7,22.2,.753,9.7,32.7,42.5,24.6,7.4,5.0,13.5,20.4,106.7
Detroit Pistons*,39.9,85.0,.469,9.6,27.8,.345,30.3,57.2,.530,17.9,23.7,.755,9.1,34.6,43.7,23.7,6.9,5.1,14.1,21.3,107.3
Boston Celtics*,39.5,88.1,.448,11.5,33.5,.344,28.0,54.6,.513,17.4,22.8,.764,10.4,35.5,45.9,23.7,6.8,3.9,14.6,19.5,108.0
Toronto Raptors*,40.3,89.7,.449,10.8,31.2,.345,29.5,58.5,.505,17.1,22.3,.765,10.6,34.2,44.8,24.5,7.6,4.5,14.9,20.5,108.4
Houston Rockets*,40.4,86.7,.466,10.1,29.8,.340,30.3,56.9,.532,18.2,23.7,.768,11.0,34.5,45.4,23.5,7.4,4.5,15.0,20.0,109.1
Milwaukee Bucks*,40.5,93.5,.433,13.1,36.3,.361,27.4,57.2,.479,15.1,20.7,.733,9.9,35.4,45.3,24.8,6.8,4.8,13.4,20.2,109.3
San Antonio Spurs*,41.5,89.7,.463,11.7,32.7,.359,29.8,57.0,.522,15.2,20.2,.755,9.2,34.7,43.9,24.7,7.2,4.0,12.2,19.6,110.0
Portland Trail Blazers*,41.1,90.0,.457,10.7,29.8,.359,30.4,60.3,.505,17.5,22.8,.770,10.3,32.6,42.8,23.2,7.4,5.1,12.4,20.7,110.5
Oklahoma City Thunder*,40.8,88.7,.460,11.2,31.6,.356,29.5,57.1,.517,18.3,24.0,.761,9.9,35.8,45.7,24.9,8.2,5.1,16.7,22.5,111.1
Golden State Warriors*,40.4,91.1,.444,11.6,33.6,.347,28.8,57.5,.500,18.7,24.2,.773,10.8,33.5,44.3,24.3,7.7,3.6,13.5,19.5,111.2
Brooklyn Nets*,42.2,92.5,.456,10.3,30.3,.341,31.9,62.1,.513,17.6,22.8,.770,11.0,35.2,46.2,23.7,7.8,5.3,13.5,22.0,112.3
Philadelphia 76ers*,41.7,91.5,.455,10.3,30.0,.342,31.4,61.5,.511,18.8,24.5,.768,10.0,33.5,43.5,23.4,7.7,4.1,12.7,22.1,112.5
Los Angeles Clippers*,41.7,91.3,.457,10.4,30.2,.343,31.4,61.1,.513,20.5,26.3,.777,11.3,34.5,45.7,24.1,8.3,6.1,13.2,24.0,114.3









