Team,all_stars
Milwaukee Bucks*,2
Golden State Warriors*,3
Philadelphia 76ers*,2
Los Angeles Clippers*,0
Portland Trail Blazers*,1
Oklahoma City Thunder*,2
Toronto Raptors*,2
Houston Rockets*,1
Boston Celtics*,1
Brooklyn Nets*,1
San Antonio Spurs*,1
Utah Jazz*,0
Denver Nuggets*,1
Indiana Pacers*,1
Orlando Magic*,1
Detroit Pistons*,1
