Team,Age,W,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Opp_eFG%,Opp_TOV%,DRB%,Opp_FT/FGA
Oklahoma City Thunder*,26.0,60,9.21,-0.06,9.15,112.4,102.6,+9.8,93.3,.338,.244,.580,.527,14.4,26.7,.280,.469,13.5,73.4,.197
Miami Heat*,30.3,66,7.87,-0.84,7.03,112.3,103.7,+8.6,90.7,.297,.285,.588,.552,13.7,22.2,.224,.487,14.8,73.0,.200
Los Angeles Clippers*,28.8,56,6.45,-0.02,6.43,110.6,103.6,+7.0,91.1,.286,.265,.557,.526,13.9,28.8,.203,.492,15.4,73.5,.229
San Antonio Spurs*,28.6,58,6.40,0.27,6.67,108.3,101.6,+6.7,94.2,.258,.264,.568,.531,14.0,20.5,.204,.480,13.7,74.9,.179
Denver Nuggets*,26.1,57,5.09,0.28,5.37,110.4,105.1,+5.3,95.1,.308,.217,.549,.515,13.6,31.4,.216,.493,14.3,71.8,.193
New York Knicks*,30.2,54,4.23,-0.50,3.73,111.1,106.3,+4.8,89.8,.258,.354,.550,.515,11.7,25.6,.196,.508,14.8,74.7,.216
Memphis Grizzlies*,27.0,56,4.15,0.18,4.32,104.9,100.3,+4.6,88.4,.261,.166,.514,.472,13.3,31.0,.202,.475,15.2,74.3,.209
Indiana Pacers*,25.7,49,4.02,-0.69,3.34,104.3,99.8,+4.5,90.2,.293,.245,.521,.479,14.3,30.3,.219,.453,12.9,74.6,.197
Houston Rockets*,24.4,45,3.48,0.22,3.69,109.7,106.1,+3.6,96.1,.308,.349,.564,.525,14.9,26.4,.232,.502,13.5,75.2,.196
Brooklyn Nets*,28.6,49,1.78,-0.53,1.25,108.2,106.2,+2.0,88.8,.299,.269,.536,.498,14.0,30.9,.219,.503,13.1,73.7,.174
Los Angeles Lakers*,30.7,45,1.16,0.32,1.48,107.8,106.6,+1.2,94.4,.345,.303,.548,.512,13.9,27.0,.239,.496,11.9,74.3,.163
Golden State Warriors*,25.3,47,0.89,0.42,1.32,106.4,105.5,+0.9,94.5,.255,.239,.545,.506,14.0,25.4,.201,.486,12.4,75.5,.211
Atlanta Hawks*,27.1,44,0.40,-0.48,-0.08,104.8,104.4,+0.4,92.6,.244,.286,.546,.517,14.2,22.2,.174,.496,14.2,73.6,.181
Chicago Bulls*,28.0,45,0.32,-0.33,-0.02,103.5,103.2,+0.3,89.3,.259,.189,.512,.470,13.6,29.4,.201,.477,13.2,73.6,.206
Boston Celtics*,29.1,41,-0.22,-0.40,-0.62,103.1,103.3,-0.2,91.7,.263,.215,.542,.503,14.1,20.1,.204,.482,14.2,73.3,.216
Milwaukee Bucks*,26.4,38,-1.50,-0.33,-1.83,103.6,105.2,-1.6,94.7,.236,.232,.510,.476,12.7,27.9,.174,.492,14.4,71.3,.201






