Team,all_stars
Denver Nuggets*,0
Houston Rockets*,1
Oklahoma City Thunder*,2
San Antonio Spurs*,2
Miami Heat*,3
Los Angeles Lakers*,2
Golden State Warriors*,1
Los Angeles Clippers*,2
New York Knicks*,2
Milwaukee Bucks*,0
Atlanta Hawks*,0
Brooklyn Nets*,1
Boston Celtics*,2
Indiana Pacers*,1
Memphis Grizzlies*,1
Chicago Bulls*,2
