Team,outcome
Denver Nuggets*,1
Houston Rockets*,1
Oklahoma City Thunder*,2
San Antonio Spurs*,4
Miami Heat*,5
Los Angeles Lakers*,1
Golden State Warriors*,2
Los Angeles Clippers*,1
New York Knicks*,2
Milwaukee Bucks*,1
Atlanta Hawks*,1
Brooklyn Nets*,1
Boston Celtics*,1
Indiana Pacers*,3
Memphis Grizzlies*,3
Chicago Bulls*,2
