Team,Age,W,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Opp_eFG%,Opp_TOV%,DRB%,Opp_FT/FGA
San Antonio Spurs*,29.5,58,7.76,0.16,7.92,106.6,98.0,+8.6,89.6,.374,.175,.541,.496,13.6,27.1,.267,.444,12.9,73.7,.182
Sacramento Kings*,27.1,55,5.82,0.25,6.07,105.6,99.6,+6.0,94.4,.298,.194,.529,.484,13.4,27.2,.230,.460,14.5,70.7,.181
Utah Jazz*,32.0,53,4.70,0.31,5.00,107.6,102.4,+5.2,89.8,.363,.135,.546,.497,15.1,30.2,.273,.473,15.6,73.2,.301
Philadelphia 76ers*,28.2,56,4.28,-0.65,3.64,103.6,98.9,+4.7,90.6,.351,.124,.518,.468,14.7,31.2,.262,.460,14.5,72.5,.186
Portland Trail Blazers*,30.1,50,4.20,0.33,4.52,106.5,101.8,+4.7,89.1,.296,.165,.539,.497,14.8,30.0,.225,.470,14.3,72.4,.223
Dallas Mavericks*,26.6,53,4.28,0.32,4.61,107.1,102.6,+4.5,93.2,.291,.202,.544,.498,13.1,24.1,.231,.467,14.2,70.7,.244
Milwaukee Bucks*,28.2,52,3.88,-0.74,3.14,108.8,104.6,+4.2,92.1,.276,.218,.542,.499,12.8,28.1,.217,.473,14.4,71.1,.253
Los Angeles Lakers*,29.2,56,3.38,0.37,3.74,108.4,104.8,+3.6,91.7,.349,.191,.535,.498,13.3,31.1,.238,.468,12.2,72.5,.234
New York Knicks*,29.8,48,2.63,-0.65,1.98,101.2,98.2,+3.0,86.7,.279,.180,.523,.476,14.6,24.2,.222,.453,14.7,74.3,.240
Miami Heat*,30.9,50,2.29,-0.57,1.73,101.1,98.5,+2.6,87.1,.299,.221,.515,.469,13.7,24.3,.227,.460,15.3,72.7,.214
Toronto Raptors*,29.9,47,2.26,-0.57,1.69,105.9,103.4,+2.5,90.9,.285,.167,.510,.468,12.1,30.8,.213,.476,13.3,73.2,.212
Charlotte Hornets*,28.2,46,2.10,-0.65,1.45,101.8,99.5,+2.3,89.4,.330,.151,.506,.457,13.7,29.8,.246,.456,14.1,74.5,.222
Phoenix Suns*,28.6,51,2.21,0.42,2.63,100.3,98.0,+2.3,93.1,.292,.156,.506,.460,14.1,27.3,.221,.460,16.3,73.7,.252
Minnesota Timberwolves*,27.4,47,1.35,0.46,1.81,105.2,103.7,+1.5,91.8,.253,.131,.523,.482,13.0,28.6,.199,.478,14.2,71.9,.238
Orlando Magic*,26.0,43,0.99,-0.60,0.39,103.2,102.1,+1.1,93.2,.301,.196,.513,.474,13.8,29.1,.215,.464,15.6,69.8,.290
Indiana Pacers*,27.7,41,-0.20,-0.57,-0.77,102.0,102.2,-0.2,89.4,.312,.180,.519,.471,14.5,27.0,.239,.452,12.8,71.4,.235


