Team,all_stars
Sacramento Kings*,2
Milwaukee Bucks*,2
Los Angeles Lakers*,2
Dallas Mavericks*,1
Toronto Raptors*,2
Orlando Magic*,2
Minnesota Timberwolves*,1
Utah Jazz*,1
San Antonio Spurs*,2
Portland Trail Blazers*,1
Philadelphia 76ers*,2
Phoenix Suns*,1
Indiana Pacers*,0
Charlotte Hornets*,0
Miami Heat*,2
New York Knicks*,2
