Team,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,Opp2P,Opp2PA,Opp2P%,OppFT,OppFTA,OppFT%,OppORB,OppDRB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF,OppPTS
New York Knicks*,31.3,75.1,.417,5.4,15.4,.352,25.9,59.7,.434,18.0,24.6,.733,10.6,29.5,40.1,19.2,7.3,4.1,14.8,21.4,86.1
Miami Heat*,32.9,76.4,.431,4.4,13.3,.331,28.5,63.1,.452,16.3,22.2,.737,11.1,30.8,42.0,17.3,7.3,5.2,15.5,22.2,86.6
San Antonio Spurs*,34.6,82.6,.419,4.2,12.7,.329,30.4,69.8,.435,15.0,20.3,.741,11.8,29.7,41.5,19.7,7.3,5.2,13.5,23.7,88.4
Charlotte Hornets*,33.7,79.3,.426,4.7,13.2,.360,29.0,66.1,.439,17.6,23.3,.756,10.9,29.7,40.6,21.3,7.5,4.6,14.7,21.6,89.8
Philadelphia 76ers*,35.0,81.7,.429,5.2,15.2,.342,29.8,66.5,.448,15.2,20.2,.749,12.0,28.9,40.9,21.6,8.2,5.6,15.4,23.6,90.4
Portland Trail Blazers*,34.4,78.5,.438,5.0,13.5,.368,29.4,65.0,.452,17.5,23.5,.744,11.5,27.3,38.8,21.3,7.9,4.0,14.8,21.2,91.2
Phoenix Suns*,34.0,78.3,.435,4.0,11.4,.349,30.1,66.9,.449,19.7,25.9,.761,11.0,31.6,42.6,20.1,8.3,5.1,17.5,22.2,91.8
Utah Jazz*,32.5,74.1,.439,5.0,14.6,.343,27.5,59.5,.462,22.3,29.2,.765,10.7,26.6,37.3,19.1,8.5,5.5,16.1,24.5,92.4
Indiana Pacers*,34.5,81.5,.423,4.6,13.7,.336,29.9,67.8,.441,19.2,25.3,.758,12.7,30.4,43.1,20.7,7.2,4.7,13.6,23.0,92.8
Toronto Raptors*,36.7,82.0,.447,4.6,12.7,.363,32.1,69.3,.463,17.4,23.0,.754,11.3,30.6,41.9,20.7,6.8,5.4,14.1,21.9,95.4
Sacramento Kings*,37.6,87.1,.432,4.9,13.8,.355,32.8,73.3,.447,15.7,21.0,.749,13.7,32.2,45.9,22.1,8.1,5.8,16.3,21.5,95.9
Minnesota Timberwolves*,36.3,80.3,.452,4.3,12.1,.351,32.0,68.2,.470,19.1,26.4,.724,11.8,30.5,42.3,22.4,7.1,4.4,15.2,20.2,96.0
Dallas Mavericks*,35.8,81.6,.439,4.6,13.9,.334,31.2,67.7,.460,19.9,27.2,.731,13.0,32.0,45.0,21.7,7.6,4.6,15.5,22.5,96.2
Orlando Magic*,34.5,79.3,.435,4.5,12.9,.346,30.0,66.3,.453,23.0,31.3,.735,12.9,31.8,44.8,21.9,8.5,5.4,17.2,23.7,96.5
Milwaukee Bucks*,35.5,80.8,.439,5.4,15.2,.352,30.2,65.6,.460,20.5,26.7,.768,12.4,30.4,42.7,23.0,7.2,4.3,15.5,21.7,96.9
Los Angeles Lakers*,36.4,83.1,.438,5.0,14.2,.354,31.3,68.9,.455,19.5,25.8,.754,12.0,29.4,41.3,20.2,7.5,4.0,13.1,24.4,97.2



