Team,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Sacramento Kings*,38.2,85.0,.449,5.8,16.5,.354,32.4,68.5,.472,19.5,25.3,.771,12.0,33.0,45.0,22.6,9.7,5.3,14.9,19.5,101.7
Milwaukee Bucks*,38.0,82.9,.458,6.9,18.1,.379,31.1,64.8,.480,18.0,22.9,.787,11.9,30.5,42.4,22.5,8.2,4.7,13.7,23.5,100.7
Los Angeles Lakers*,37.9,81.5,.465,5.4,15.5,.344,32.6,66.0,.494,19.4,28.5,.683,13.2,31.5,44.7,23.0,6.9,6.0,14.4,22.8,100.6
Dallas Mavericks*,37.6,81.9,.459,6.3,16.5,.381,31.3,65.4,.479,18.9,23.8,.794,10.1,31.4,41.5,21.2,7.5,6.0,13.9,23.3,100.5
Toronto Raptors*,37.2,85.0,.437,5.2,14.2,.369,31.9,70.8,.451,18.1,24.2,.747,13.6,30.8,44.5,24.4,7.3,6.3,13.2,21.3,97.6
Orlando Magic*,36.7,83.8,.438,6.0,16.4,.364,30.8,67.4,.456,18.0,25.2,.714,13.0,29.9,42.9,22.0,8.2,5.9,15.2,25.3,97.5
Minnesota Timberwolves*,38.4,83.8,.458,3.9,11.0,.357,34.5,72.8,.473,16.6,21.2,.785,12.2,30.1,42.3,25.4,8.3,5.6,13.9,23.2,97.3
Utah Jazz*,36.1,76.7,.471,4.0,10.4,.381,32.1,66.3,.485,20.9,27.8,.752,11.5,29.1,40.6,25.7,8.1,5.6,15.8,25.7,97.1
San Antonio Spurs*,35.2,76.4,.461,5.4,13.3,.407,29.7,63.0,.472,20.4,28.5,.715,11.0,33.1,44.1,21.7,6.9,7.0,14.0,18.9,96.2
Portland Trail Blazers*,36.6,78.3,.468,4.5,12.9,.349,32.1,65.4,.492,17.6,23.2,.762,11.7,30.3,42.0,23.9,8.2,5.1,15.3,21.3,95.4
Philadelphia 76ers*,35.4,79.1,.447,3.2,9.8,.326,32.2,69.3,.464,20.7,27.8,.745,13.1,31.7,44.8,20.6,8.4,5.0,15.8,20.4,94.7
Phoenix Suns*,35.9,82.4,.436,4.0,12.9,.315,31.9,69.5,.458,18.2,24.1,.755,11.8,30.8,42.7,23.2,9.5,5.2,15.2,22.7,94.0
Indiana Pacers*,34.5,78.4,.440,4.8,14.1,.342,29.7,64.3,.461,18.8,24.5,.766,11.2,31.6,42.9,21.5,6.9,5.9,15.2,23.5,92.6
Charlotte Hornets*,34.1,79.3,.431,4.1,12.0,.346,30.0,67.3,.446,19.5,26.2,.745,12.6,31.8,44.4,23.2,8.1,5.5,14.4,21.4,91.9
Miami Heat*,32.9,76.3,.430,5.8,16.9,.345,27.0,59.4,.455,17.4,22.9,.759,9.9,29.7,39.6,19.9,7.7,3.7,13.7,21.0,88.9
New York Knicks*,33.6,75.6,.444,4.8,13.6,.351,28.8,62.0,.465,16.8,21.1,.796,9.4,30.8,40.2,18.5,6.6,4.2,14.5,22.7,88.7

