Team,outcome
Sacramento Kings*,2
Milwaukee Bucks*,3
Los Angeles Lakers*,5
Dallas Mavericks*,2
Toronto Raptors*,2
Orlando Magic*,1
Minnesota Timberwolves*,1
Utah Jazz*,1
San Antonio Spurs*,3
Portland Trail Blazers*,1
Philadelphia 76ers*,4
Phoenix Suns*,1
Indiana Pacers*,1
Charlotte Hornets*,2
Miami Heat*,1
New York Knicks*,1
