Team,all_stars
San Antonio Spurs*,2
Toronto Raptors*,2
Cleveland Cavaliers*,1
Miami Heat*,2
Atlanta Hawks*,2
Los Angeles Clippers*,1
Indiana Pacers*,1
Charlotte Hornets*,0
Memphis Grizzlies*,0
Detroit Pistons*,1
Boston Celtics*,1
Dallas Mavericks*,0
Oklahoma City Thunder*,2
Golden State Warriors*,3
Portland Trail Blazers*,0
Houston Rockets*,1
