Team,outcome
San Antonio Spurs*,2
Toronto Raptors*,3
Cleveland Cavaliers*,5
Miami Heat*,2
Atlanta Hawks*,2
Los Angeles Clippers*,1
Indiana Pacers*,1
Charlotte Hornets*,1
Memphis Grizzlies*,1
Detroit Pistons*,1
Boston Celtics*,1
Dallas Mavericks*,1
Oklahoma City Thunder*,3
Golden State Warriors*,4
Portland Trail Blazers*,2
Houston Rockets*,1
