Team,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Sacramento Kings*,40.0,88.9,.450,6.5,20.2,.322,33.4,68.7,.487,18.5,24.6,.754,12.9,32.1,45.0,23.8,9.6,4.6,16.2,21.1,105.0
Detroit Pistons*,37.1,80.9,.459,5.4,14.9,.359,31.8,66.0,.481,23.9,30.6,.781,11.2,30.0,41.2,20.8,8.1,3.3,15.7,24.5,103.5
Indiana Pacers*,37.2,81.0,.459,7.1,18.1,.392,30.0,62.8,.478,19.9,24.5,.811,10.3,31.9,42.1,22.6,6.8,5.1,14.1,21.8,101.3
Milwaukee Bucks*,38.7,83.3,.465,4.8,13.0,.369,33.9,70.2,.483,19.0,24.2,.786,12.4,28.9,41.3,22.6,8.2,4.6,15.0,24.6,101.2
Los Angeles Lakers*,38.3,83.4,.459,4.2,12.8,.329,34.1,70.6,.482,20.1,28.9,.696,13.6,33.4,47.0,23.4,7.5,6.5,13.9,22.5,100.8
Seattle SuperSonics*,37.9,84.7,.447,6.7,19.6,.339,31.2,65.1,.480,16.6,23.9,.695,12.7,30.3,43.0,22.9,8.0,4.2,14.0,21.7,99.1
Phoenix Suns*,37.7,82.6,.457,5.6,15.2,.368,32.1,67.4,.477,17.9,23.6,.759,12.5,31.2,43.7,25.6,9.1,5.3,16.7,24.1,98.9
Minnesota Timberwolves*,39.3,84.3,.467,3.0,8.7,.346,36.3,75.5,.481,16.8,21.6,.780,12.4,30.1,42.5,26.9,7.6,5.4,13.9,23.3,98.5
Charlotte Hornets*,35.8,79.7,.449,4.1,12.2,.339,31.7,67.5,.469,22.7,30.0,.758,10.8,32.1,42.9,24.7,8.9,5.9,14.7,20.4,98.4
Portland Trail Blazers*,36.8,78.4,.470,5.0,13.8,.361,31.9,64.7,.493,18.8,24.7,.760,11.8,31.2,43.0,23.5,7.7,4.8,15.2,22.7,97.5
Toronto Raptors*,36.3,83.9,.433,5.2,14.3,.363,31.2,69.6,.447,19.3,25.2,.765,13.4,29.9,43.3,23.7,8.1,6.6,13.9,24.3,97.2
Utah Jazz*,36.1,77.8,.464,4.0,10.4,.385,32.1,67.4,.476,20.3,26.2,.773,11.4,29.6,41.0,24.9,7.7,5.4,14.9,24.5,96.5
San Antonio Spurs*,36.0,78.0,.462,4.0,10.8,.374,32.0,67.2,.476,20.1,27.0,.746,11.3,32.5,43.8,22.2,7.5,6.7,15.0,20.9,96.2
Philadelphia 76ers*,36.5,82.6,.442,2.5,7.8,.323,34.0,74.8,.454,19.2,27.1,.708,14.0,30.1,44.1,22.2,9.6,4.7,15.7,23.6,94.8
Miami Heat*,36.3,78.8,.460,5.4,14.7,.371,30.8,64.1,.481,16.4,22.3,.736,11.2,31.9,43.2,23.5,7.1,6.4,15.0,23.7,94.4
New York Knicks*,35.3,77.7,.455,4.3,11.4,.375,31.0,66.3,.468,17.2,22.0,.781,9.8,30.7,40.5,19.4,6.3,4.3,14.6,24.2,92.1

