Team,outcome
San Antonio Spurs*,1
New York Knicks*,3
Portland Trail Blazers*,3
Miami Heat*,2
Utah Jazz*,2
Los Angeles Lakers*,5
Philadelphia 76ers*,2
Phoenix Suns*,2
Charlotte Hornets*,1
Minnesota Timberwolves*,1
Indiana Pacers*,4
Toronto Raptors*,1
Seattle SuperSonics*,1
Milwaukee Bucks*,1
Sacramento Kings*,1
Detroit Pistons*,1
