Team,all_stars
Los Angeles Clippers*,2
Houston Rockets*,2
Portland Trail Blazers*,2
Oklahoma City Thunder*,1
San Antonio Spurs*,1
Dallas Mavericks*,1
Golden State Warriors*,1
Miami Heat*,3
Toronto Raptors*,1
Atlanta Hawks*,1
Washington Wizards*,1
Brooklyn Nets*,1
Charlotte Bobcats*,0
Indiana Pacers*,1
Memphis Grizzlies*,0
Chicago Bulls*,1
