Team,outcome
Los Angeles Clippers*,2
Houston Rockets*,1
Portland Trail Blazers*,2
Oklahoma City Thunder*,3
San Antonio Spurs*,5
Dallas Mavericks*,1
Golden State Warriors*,1
Miami Heat*,4
Toronto Raptors*,1
Atlanta Hawks*,1
Washington Wizards*,2
Brooklyn Nets*,2
Charlotte Bobcats*,1
Indiana Pacers*,3
Memphis Grizzlies*,1
Chicago Bulls*,1
