Season,Team,W,Standing,MOV,MOV_Rank,SRS,SRS_Rank,ORTG,ORTG_Rank,DRTG,DRTG_Rank,NRTG,NRTG_Rank,eFG,eFG_Rank,Opp_eFG,Opp_eFG_Rank,Outcome
2020,Boston Celtics,48,5,6.31,3,5.83,5,113.3,4,107,4,6.3,2,0.531,13,0.509,13,3
2020,Brooklyn Nets,35,14,-0.57,14,-1.01,16,108.9,15,109.5,9,-0.6,14,0.52,15,0.511,11,1
2020,Dallas Mavericks,43,12,4.95,6,4.87,6,116.7,1,111.7,15,5,6,0.545,4,0.525,5,1
2020,Denver Nuggets,46,6,2.11,11,2.35,10,113.1,5,111,14,2.1,11,0.535,8,0.533,2,3
2020,Houston Rockets,44,8,2.96,7,3.13,7,112.9,6,110.1,13,2.8,8,0.537,6,0.529,4,2
2020,Indiana Pacers,45,7,1.96,13,1.63,13,110,14,108,6,2,12,0.534,10,0.511,11,1
2020,Los Angeles Clippers,49,4,6.44,2,6.66,2,113.9,2,107.6,5,6.3,2,0.535,8,0.506,14,2
2020,Los Angeles Lakers,52,3,5.79,5,6.28,3,112,10,106.3,3,5.7,5,0.542,5,0.515,10,5
2020,Miami Heat,44,8,2.95,8,2.59,8,112.5,7,109.5,9,3,7,0.547,3,0.523,6,4
2020,Milwaukee Bucks,56,1,10.08,1,9.41,1,112.4,8,102.9,1,9.5,1,0.552,1,0.489,16,2
2020,Oklahoma City Thunder,44,8,1.99,12,2.33,11,110.8,13,108.8,7,2,12,0.53,14,0.518,8,1
2020,Orlando Magic,33,16,-1.01,15,-0.93,15,108.5,16,109.5,9,-1,15,0.506,16,0.535,1,1
2020,Philadelphia 76ers,43,12,2.38,10,2.25,12,111.3,11,109,8,2.3,10,0.534,10,0.523,6,1
2020,Portland Trail Blazers,35,14,-1.15,16,-0.61,14,113.7,3,114.8,16,-1.1,16,0.533,12,0.53,3,1
2020,Toronto Raptors,53,2,6.24,4,5.97,4,111.1,12,105,2,6.1,4,0.536,7,0.502,15,2
2020,Utah Jazz,44,8,2.47,9,2.52,9,112.3,9,109.9,12,2.4,9,0.549,2,0.518,8,1
