Team,W,MOV,SRS,ORtg,DRtg,NRtg,eFG%,Opp_eFG%
Atlanta Hawks*,50,3.51,3.85,108.2,104.3,+3.9,.481,.468
Boston Celtics,36,-2.62,-1.96,102.6,105.4,-2.8,.464,.504
Charlotte Hornets*,51,2.00,2.45,107.5,105.3,+2.2,.495,.493
Chicago Bulls*,62,7.11,7.24,107.7,99.8,+7.9,.473,.457
Cleveland Cavaliers*,47,2.73,3.06,102.2,99.1,+3.1,.478,.460
Dallas Mavericks,20,-6.11,-6.33,100.5,107.2,-6.7,.458,.488
Denver Nuggets,11,-11.78,-11.74,99.0,112.1,-13.1,.440,.506
Detroit Pistons,37,1.57,1.95,105.3,103.5,+1.8,.472,.474
Golden State Warriors,19,-9.12,-9.20,95.8,105.7,-9.9,.427,.469
Houston Rockets*,41,-0.76,-1.23,107.7,108.6,-0.9,.496,.499
Indiana Pacers*,58,6.09,6.25,108.4,101.6,+6.8,.502,.453
Los Angeles Clippers,17,-7.37,-7.53,103.3,111.2,-7.9,.477,.498
Los Angeles Lakers*,61,7.74,6.88,111.9,103.7,+8.2,.519,.467
Miami Heat*,55,4.93,5.09,107.6,102.0,+5.6,.494,.452
Milwaukee Bucks,36,-1.91,-1.33,103.5,105.6,-2.1,.475,.485
Minnesota Timberwolves*,45,0.71,0.17,107.8,107.1,+0.7,.483,.480
New Jersey Nets*,43,1.57,1.88,108.3,106.6,+1.7,.463,.499
New York Knicks*,43,2.46,2.74,103.0,100.3,+2.7,.476,.455
Orlando Magic,41,-1.07,-0.53,102.6,103.8,-1.2,.452,.478
Philadelphia 76ers,31,-2.39,-1.89,102.8,105.4,-2.6,.462,.481
Phoenix Suns*,56,5.18,4.44,107.4,101.8,+5.6,.500,.471
Portland Trail Blazers*,46,1.40,0.83,104.0,102.4,+1.6,.476,.460
Sacramento Kings,27,-5.59,-5.83,100.8,106.9,-6.1,.464,.482
San Antonio Spurs*,56,3.99,3.30,103.8,99.4,+4.4,.493,.437
Seattle SuperSonics*,61,7.17,6.33,111.6,103.6,+8.0,.521,.478
Toronto Raptors,16,-9.27,-8.33,101.2,111.0,-9.8,.462,.508
Utah Jazz*,62,6.54,5.73,112.7,105.4,+7.3,.510,.471
Vancouver Grizzlies,19,-7.30,-7.47,104.1,112.0,-7.9,.482,.507
Washington Wizards,42,0.59,1.11,105.2,104.5,+0.7,.476,.481
