Team,W,MOV,SRS,ORtg,DRtg,NRtg,eFG%,Opp_eFG%
Atlanta Hawks,28,-4.65,-5.00,101.0,106.1,-5.1,.465,.476
Boston Celtics*,36,-1.45,-1.99,102.1,103.7,-1.6,.486,.479
Chicago Bulls,23,-6.35,-6.69,96.6,103.4,-6.8,.446,.469
Cleveland Cavaliers,35,-2.62,-3.07,101.4,104.2,-2.8,.451,.469
Dallas Mavericks*,52,4.44,4.86,112.1,107.4,+4.7,.495,.498
Denver Nuggets*,43,1.07,1.65,103.9,102.7,+1.2,.467,.481
Detroit Pistons*,54,5.84,5.04,102.0,95.4,+6.6,.461,.441
Golden State Warriors,37,-0.73,-0.07,103.0,103.8,-0.8,.475,.476
Houston Rockets*,45,1.73,2.28,100.9,99.0,+1.9,.484,.447
Indiana Pacers*,61,5.76,4.93,103.8,97.2,+6.6,.471,.459
Los Angeles Clippers,28,-4.59,-3.74,103.5,108.5,-5.0,.453,.494
Los Angeles Lakers*,56,3.90,4.35,105.5,101.3,+4.2,.481,.471
Memphis Grizzlies*,50,2.44,2.95,104.8,102.2,+2.6,.479,.465
Miami Heat*,42,0.52,-0.13,102.2,101.7,+0.5,.463,.463
Milwaukee Bucks*,41,1.06,0.42,106.5,105.4,+1.1,.477,.485
Minnesota Timberwolves*,58,5.49,5.86,105.9,99.7,+6.2,.486,.444
New Jersey Nets*,47,2.50,1.88,100.8,98.0,+2.8,.471,.460
New Orleans Hornets*,41,-0.10,-0.72,102.3,102.4,-0.1,.460,.476
New York Knicks*,39,-1.48,-1.97,101.7,103.3,-1.6,.474,.461
Orlando Magic,21,-7.02,-7.25,102.7,110.4,-7.7,.461,.502
Philadelphia 76ers,33,-2.49,-2.95,99.1,101.9,-2.8,.456,.467
Phoenix Suns,29,-3.74,-2.94,101.4,105.5,-4.1,.475,.482
Portland Trail Blazers,41,-1.27,-0.58,103.7,105.1,-1.4,.478,.482
Sacramento Kings*,55,5.01,5.41,110.3,104.9,+5.4,.507,.483
San Antonio Spurs*,57,7.22,7.51,102.2,94.1,+8.1,.473,.433
Seattle SuperSonics,37,-0.63,0.02,107.3,108.0,-0.7,.501,.487
Toronto Raptors,33,-3.01,-3.42,97.0,100.4,-3.4,.454,.449
Utah Jazz,42,-1.22,-0.53,101.9,103.3,-1.4,.456,.468
Washington Wizards,25,-5.63,-6.12,98.8,104.8,-6.0,.454,.486
