Team,all_stars
Phoenix Suns*,2
Charlotte Hornets*,1
Portland Trail Blazers*,2
Seattle SuperSonics*,1
Indiana Pacers*,1
Cleveland Cavaliers*,3
Atlanta Hawks*,1
Los Angeles Clippers*,1
Utah Jazz*,2
San Antonio Spurs*,2
Chicago Bulls*,2
Los Angeles Lakers*,0
Houston Rockets*,1
Boston Celtics*,0
New Jersey Nets*,0
New York Knicks*,1
