Team,all_stars
Chicago Bulls*,2
Seattle SuperSonics*,2
Orlando Magic*,2
Phoenix Suns*,1
San Antonio Spurs*,2
Los Angeles Lakers*,0
Utah Jazz*,2
Houston Rockets*,2
Sacramento Kings*,1
Indiana Pacers*,1
Portland Trail Blazers*,0
Atlanta Hawks*,0
New York Knicks*,1
Miami Heat*,1
Detroit Pistons*,1
Cleveland Cavaliers*,1
