Season,Team,W,Standing,MOV,MOV_Rank,SRS,SRS_Rank,ORTG,ORTG_Rank,DRTG,DRTG_Rank,NRTG,NRTG_Rank,eFG,eFG_Rank,Opp_eFG,Opp_eFG_Rank,Outcome
2010,Atlanta Hawks,53,6,4.66,7,4.44,7,111.9,2,106.7,13,5.2,5,0.506,8,0.496,2,2
2010,Boston Celtics,50,9,3.66,9,3.37,10,107.7,12,103.8,5,3.9,9,0.522,5,0.487,8,4
2010,Charlotte Bobcats,44,15,1.46,15,1.3,15,104.4,15,102.8,1,1.6,15,0.49,14,0.491,6,1
2010,Chicago Bulls,41,16,-1.63,16,-1.64,16,103.5,16,105.3,11,-1.8,16,0.477,16,0.484,10,1
2010,Cleveland Cavaliers,61,1,6.52,2,6.17,2,111.2,5,104.1,6,7.1,2,0.532,3,0.482,14,2
2010,Dallas Mavericks,55,4,2.72,12,2.66,12,109.2,9,106.3,12,2.9,12,0.506,8,0.495,3,1
2010,Denver Nuggets,53,6,4.09,8,4.15,8,111.8,3,107.5,15,4.3,8,0.509,7,0.495,3,1
2010,Los Angeles Lakers,57,3,4.72,6,4.78,5,108.8,10,103.7,4,5.1,6,0.496,11,0.484,10,5
2010,Miami Heat,47,13,2.28,13,1.99,13,106.6,13,104.1,6,2.5,13,0.496,11,0.48,15,1
2010,Milwaukee Bucks,46,14,1.7,14,1.37,14,104.9,14,103.1,2,1.8,14,0.482,15,0.486,9,1
2010,Oklahoma City Thunder,50,9,3.49,10,3.55,9,108.3,11,104.6,9,3.7,10,0.494,13,0.483,12,1
2010,Orlando Magic,59,2,7.49,1,7.12,1,111.4,4,103.3,3,8.1,1,0.536,2,0.477,16,3
2010,Phoenix Suns,54,5,4.9,5,4.67,6,115.3,1,110.2,16,5.1,6,0.546,1,0.491,6,3
2010,Portland Trail Blazers,50,9,3.3,11,3.18,11,110.8,6,107.1,14,3.7,10,0.499,10,0.502,1,1
2010,San Antonio Spurs,50,9,5.09,4,5.07,4,110,8,104.5,8,5.5,4,0.515,6,0.483,12,2
2010,Utah Jazz,53,6,5.34,3,5.33,3,110.7,7,105,10,5.7,3,0.524,4,0.492,5,2
