Team,W,MOV,SRS,ORtg,DRtg,NRtg,eFG%,Opp_eFG%
Atlanta Hawks,25,-5.21,-5.55,98.7,104.3,-5.6,.456,.472
Boston Celtics,36,-2.13,-2.40,101.4,103.7,-2.3,.473,.493
Charlotte Hornets*,46,2.10,1.45,101.8,99.5,+2.3,.457,.456
Chicago Bulls,15,-9.10,-9.09,97.2,107.3,-10.1,.450,.499
Cleveland Cavaliers,30,-4.24,-4.48,100.3,104.9,-4.6,.459,.477
Dallas Mavericks*,53,4.28,4.61,107.1,102.6,+4.5,.498,.467
Denver Nuggets,40,-2.46,-1.83,103.7,106.3,-2.6,.470,.476
Detroit Pistons,32,-1.70,-2.08,100.0,101.8,-1.8,.453,.466
Golden State Warriors,17,-9.05,-8.11,97.8,107.4,-9.6,.429,.504
Houston Rockets,45,2.29,2.71,106.7,104.2,+2.5,.492,.475
Indiana Pacers*,41,-0.20,-0.77,102.0,102.2,-0.2,.471,.452
Los Angeles Clippers,31,-2.89,-2.23,101.3,104.5,-3.2,.476,.466
Los Angeles Lakers*,56,3.38,3.74,108.4,104.8,+3.6,.498,.468
Miami Heat*,50,2.29,1.73,101.1,98.5,+2.6,.469,.460
Milwaukee Bucks*,52,3.88,3.14,108.8,104.6,+4.2,.499,.473
Minnesota Timberwolves*,47,1.35,1.81,105.2,103.7,+1.5,.482,.478
New Jersey Nets,26,-5.05,-5.30,100.0,105.5,-5.5,.452,.488
New York Knicks*,48,2.63,1.98,101.2,98.2,+3.0,.476,.453
Orlando Magic*,43,0.99,0.39,103.2,102.1,+1.1,.474,.464
Philadelphia 76ers*,56,4.28,3.64,103.6,98.9,+4.7,.468,.460
Phoenix Suns*,51,2.21,2.63,100.3,98.0,+2.3,.460,.460
Portland Trail Blazers*,50,4.20,4.52,106.5,101.8,+4.7,.497,.470
Sacramento Kings*,55,5.82,6.07,105.6,99.6,+6.0,.484,.460
San Antonio Spurs*,58,7.76,7.92,106.6,98.0,+8.6,.496,.444
Seattle SuperSonics,44,0.02,0.55,105.6,105.6,0.0,.491,.488
Toronto Raptors*,47,2.26,1.69,105.9,103.4,+2.5,.468,.476
Utah Jazz*,53,4.70,5.00,107.6,102.4,+5.2,.497,.473
Vancouver Grizzlies,23,-5.73,-4.94,99.6,105.8,-6.2,.464,.491
Washington Wizards,19,-6.67,-6.75,100.6,107.8,-7.2,.460,.503
