Season,Team,W,Standing,MOV,MOV_Rank,SRS,SRS_Rank,ORTG,ORTG_Rank,DRTG,DRTG_Rank,NRTG,NRTG_Rank,eFG,eFG_Rank,Opp_eFG,Opp_eFG_Rank,Outcome
2021,Atlanta Hawks,41,11,2.32,9,2.14,10,115.7,8,113.3,14,2.4,9,0.539,12,0.53,12,3
2021,Boston Celtics,36,15,1.46,13,1.32,13,114,10,112.5,11,1.5,13,0.543,9,0.539,4,1
2021,Brooklyn Nets,48,4,4.5,7,4.24,7,118.3,1,113.8,15,4.5,7,0.575,1,0.531,10,2
2021,Dallas Mavericks,42,8,2.26,11,2.26,9,115.4,9,113,12,2.4,9,0.55,7,0.534,8,1
2021,Denver Nuggets,47,5,4.93,6,4.82,6,117.1,7,112.1,10,5,6,0.557,6,0.545,2,2
2021,Los Angeles Clippers,47,5,6.18,2,6.02,2,117.6,3,111.2,6,6.4,2,0.564,3,0.531,10,3
2021,Los Angeles Lakers,42,8,2.79,8,2.77,8,109.9,16,107.1,1,2.8,8,0.536,13,0.526,13,1
2021,Memphis Grizzlies,38,14,1.03,14,1.07,14,112,12,111,5,1,14,0.528,15,0.535,7,1
2021,Miami Heat,40,13,0.03,15,-0.06,15,111.2,13,111.2,6,0,15,0.546,8,0.542,3,1
2021,Milwaukee Bucks,46,7,5.89,3,5.57,4,117.2,5,111.4,9,5.8,4,0.566,2,0.536,6,5
2021,New York Knicks,41,11,2.31,10,2.13,11,110.6,15,108.2,3,2.4,9,0.524,16,0.509,15,1
2021,Philadelphia 76ers,49,3,5.58,5,5.28,5,113.2,11,107.6,2,5.6,5,0.541,10,0.521,14,2
2021,Phoenix Suns,51,2,5.82,4,5.67,3,117.2,5,111.3,8,5.9,3,0.564,3,0.534,8,4
2021,Portland Trail Blazers,42,8,1.79,12,1.81,12,117.8,2,116,16,1.8,12,0.54,11,0.546,1,1
2021,Utah Jazz,52,1,9.25,1,8.97,1,117.6,3,108.3,4,9.3,1,0.563,5,0.507,16,2
2021,Washington Wizards,34,16,-1.83,16,-1.85,16,111.2,13,113,12,-1.8,16,0.531,14,0.539,4,1
