Season,Team,W,Standing,MOV,MOV_Rank,SRS,SRS_Rank,ORTG,ORTG_Rank,DRTG,DRTG_Rank,NRTG,NRTG_Rank,eFG,eFG_Rank,Opp_eFG,Opp_eFG_Rank,Outcome
2019,Boston Celtics,49,9,4.44,6,3.9,8,112.7,8,108.3,7,4.4,6,0.534,6,0.514,9,2
2019,Brooklyn Nets,42,14,-0.07,15,-0.4,15,109.6,14,109.7,11,-0.1,15,0.52,13,0.512,11,1
2019,Denver Nuggets,54,4,3.95,8,4.19,7,113,6,108.9,8,4.1,8,0.527,12,0.521,5,2
2019,Detroit Pistons,41,16,-0.24,16,-0.56,16,109,15,109.2,9,-0.2,16,0.509,16,0.526,2,1
2019,Golden State Warriors,57,3,6.46,2,6.42,2,115.9,1,109.5,10,6.4,2,0.565,1,0.508,14,4
2019,Houston Rockets,53,5,4.77,5,4.96,5,115.5,2,110.7,14,4.8,5,0.542,4,0.525,3,2
2019,Indiana Pacers,48,11,3.33,10,2.76,10,109.9,13,106.5,3,3.4,9,0.53,9,0.516,6,1
2019,Los Angeles Clippers,48,11,0.85,13,1.09,13,112.4,10,111.5,16,0.9,13,0.529,10,0.514,9,1
2019,Milwaukee Bucks,60,1,8.87,1,8.04,1,113.8,4,105.2,1,8.6,1,0.55,2,0.503,16,3
2019,Oklahoma City Thunder,49,9,3.4,9,3.56,9,110.3,12,107,4,3.3,10,0.514,15,0.523,4,1
2019,Orlando Magic,42,14,0.71,14,0.28,14,108.9,16,108.1,6,0.8,14,0.518,14,0.515,8,1
2019,Philadelphia 76ers,51,7,2.7,11,2.25,11,112.6,9,110,12,2.6,11,0.532,8,0.512,11,2
2019,Portland Trail Blazers,53,5,4.2,7,4.43,6,114.7,3,110.5,13,4.2,7,0.528,11,0.516,6,3
2019,San Antonio Spurs,48,11,1.68,12,1.8,12,112.9,7,111.2,15,1.7,12,0.534,6,0.528,1,1
2019,Toronto Raptors,58,2,6.09,3,5.49,3,113.1,5,107.1,5,6,3,0.543,3,0.509,13,5
2019,Utah Jazz,50,8,5.26,4,5.28,4,110.9,11,105.7,2,5.2,4,0.538,5,0.507,15,1
