Team,W,MOV,SRS,ORtg,DRtg,NRtg,eFG%,Opp_eFG%
Atlanta Hawks*,42,1.28,1.06,106.6,105.2,+1.4,.487,.495
Boston Celtics*,35,-1.88,-1.92,108.6,110.6,-2.0,.491,.512
Charlotte Hornets*,50,3.28,2.87,109.6,106.1,+3.5,.517,.485
Chicago Bulls*,47,4.83,4.32,109.5,104.3,+5.2,.509,.488
Cleveland Cavaliers*,43,0.62,0.55,105.3,104.6,+0.7,.472,.493
Dallas Mavericks,36,-2.90,-2.39,107.6,110.6,-3.0,.466,.519
Denver Nuggets*,41,0.84,0.96,109.1,108.2,+0.9,.511,.487
Detroit Pistons,28,-7.29,-7.08,105.1,112.9,-7.8,.499,.510
Golden State Warriors,26,-5.41,-4.90,106.7,112.2,-5.5,.508,.522
Houston Rockets*,47,2.12,2.32,109.7,107.4,+2.3,.529,.489
Indiana Pacers*,52,3.70,3.35,109.6,105.6,+4.0,.507,.493
Los Angeles Clippers,17,-9.16,-8.43,101.5,111.1,-9.6,.468,.526
Los Angeles Lakers*,48,-0.22,-0.01,109.1,109.4,-0.3,.500,.500
Miami Heat,32,-1.63,-1.85,108.2,109.9,-1.7,.499,.510
Milwaukee Bucks,34,-4.37,-4.30,106.2,110.9,-4.7,.496,.530
Minnesota Timberwolves,21,-9.00,-8.22,102.6,112.4,-9.8,.475,.510
New Jersey Nets,30,-3.13,-3.28,105.2,108.6,-3.4,.467,.493
New York Knicks*,55,3.11,2.78,107.2,103.8,+3.4,.508,.468
Orlando Magic*,57,7.06,6.44,115.1,107.8,+7.3,.539,.490
Philadelphia 76ers,24,-5.07,-5.06,104.1,109.7,-5.6,.475,.500
Phoenix Suns*,59,3.88,3.86,114.5,110.4,+4.1,.524,.515
Portland Trail Blazers*,44,3.82,3.80,109.7,105.7,+4.0,.483,.491
Sacramento Kings,39,-1.00,-0.74,105.5,106.5,-1.0,.496,.481
San Antonio Spurs*,62,5.96,5.90,111.7,105.4,+6.3,.516,.485
Seattle SuperSonics*,57,8.18,7.91,114.8,106.3,+8.5,.527,.492
Utah Jazz*,60,7.99,7.76,114.3,105.7,+8.6,.535,.496
Washington Bullets,21,-5.60,-5.56,105.4,111.3,-5.9,.492,.512
