Team,W,MOV,SRS,ORtg,DRtg,NRtg,eFG%,Opp_eFG%
Atlanta Hawks*,43,0.77,0.72,110.9,110.1,+0.8,.482,.509
Boston Celtics*,56,5.82,5.22,112.6,106.7,+5.9,.520,.465
Charlotte Hornets,26,-5.24,-4.95,105.0,110.4,-5.4,.477,.504
Chicago Bulls*,61,9.10,8.57,114.6,105.2,+9.4,.521,.488
Cleveland Cavaliers,33,-2.46,-2.33,106.1,108.7,-2.6,.487,.497
Dallas Mavericks,28,-4.57,-4.27,105.5,110.3,-4.8,.485,.495
Denver Nuggets,20,-10.91,-10.31,105.2,114.7,-9.5,.457,.524
Detroit Pistons*,50,3.27,3.08,108.2,104.6,+3.6,.474,.464
Golden State Warriors*,44,1.63,1.72,111.9,110.3,+1.6,.504,.497
Houston Rockets*,52,3.50,3.27,107.4,103.9,+3.5,.489,.469
Indiana Pacers*,41,-0.39,-0.37,111.7,112.1,-0.4,.511,.503
Los Angeles Clippers,31,-3.45,-3.16,103.0,106.5,-3.5,.471,.481
Los Angeles Lakers*,58,6.74,6.73,112.1,105.0,+7.1,.500,.474
Miami Heat,24,-5.99,-5.91,102.0,108.1,-6.1,.469,.491
Milwaukee Bucks*,48,2.48,2.33,109.7,107.2,+2.5,.499,.500
Minnesota Timberwolves,29,-3.93,-3.75,106.7,110.9,-4.2,.456,.502
New Jersey Nets,26,-4.51,-4.53,102.9,107.4,-4.5,.455,.478
New York Knicks*,39,-0.23,-0.43,107.1,107.3,-0.2,.498,.489
Orlando Magic,31,-3.98,-3.79,105.9,109.9,-4.0,.473,.493
Philadelphia 76ers*,44,-0.18,-0.39,107.9,108.1,-0.2,.489,.489
Phoenix Suns*,55,6.55,6.49,112.6,106.1,+6.5,.506,.474
Portland Trail Blazers*,63,8.68,8.47,112.8,104.3,+8.5,.509,.473
Sacramento Kings,25,-6.78,-6.27,102.0,109.1,-7.1,.468,.481
San Antonio Spurs*,55,4.51,4.30,107.8,103.3,+4.5,.494,.463
Seattle SuperSonics*,41,1.23,1.31,109.7,108.5,+1.2,.501,.503
Utah Jazz*,54,3.33,3.18,108.6,105.1,+3.5,.503,.473
Washington Bullets,30,-4.98,-4.84,103.0,108.1,-5.1,.470,.478
