Team,all_stars
Detroit Pistons*,3
Boston Celtics*,3
San Antonio Spurs*,1
Houston Rockets*,1
New Orleans Hornets*,2
Dallas Mavericks*,1
Philadelphia 76ers*,0
Cleveland Cavaliers*,1
Toronto Raptors*,1
Orlando Magic*,1
Washington Wizards*,2
Utah Jazz*,1
Atlanta Hawks*,1
Los Angeles Lakers*,1
Phoenix Suns*,2
Denver Nuggets*,2
